Day,Date,APY,Portfolio Value
1,2024-01-01,1.83,9953.52
2,2024-01-02,1.6,9953.960000000001
3,2024-01-03,1.57,9954.390000000001
4,2024-01-04,1.85,9954.9
5,2024-01-05,1.5,9955.310000000001
6,2024-01-06,1.56,9955.74
7,2024-01-07,1.81,9956.23
8,2024-01-08,1.55,9956.66
9,2024-01-09,1.89,9957.18
10,2024-01-10,1.64,9957.630000000001
11,2024-01-11,1.87,9958.140000000001
12,2024-01-12,1.58,9958.57
13,2024-01-13,1.5,9958.98
14,2024-01-14,1.97,9959.52
15,2024-01-15,1.88,9960.04
16,2024-01-16,1.95,9960.57
17,2024-01-17,1.98,9961.12
18,2024-01-18,1.65,9961.57
19,2024-01-19,2.03,9962.130000000001
20,2024-01-20,1.98,9962.67
21,2024-01-21,1.94,9963.2
22,2024-01-22,1.83,9963.7
23,2024-01-23,1.68,9964.16
24,2024-01-24,1.94,9964.7
25,2024-01-25,1.84,9965.2
26,2024-01-26,2,9965.75
27,2024-01-27,1.97,9966.29
28,2024-01-28,1.8,9966.78
29,2024-01-29,2.03,9967.34
30,2024-01-30,2.04,9967.9
31,2024-01-31,2.06,9968.470000000001
32,2024-02-01,1.86,9968.98
33,2024-02-02,1.78,9969.470000000001
34,2024-02-03,1.82,9969.970000000001
35,2024-02-04,2.01,9970.52
36,2024-02-05,1.75,9971
37,2024-02-06,1.65,9971.45
38,2024-02-07,2.17,9972.050000000001
39,2024-02-08,2.1,9972.630000000001
40,2024-02-09,2.09,9973.2
41,2024-02-10,2.21,9973.810000000001
42,2024-02-11,2.04,9974.37
43,2024-02-12,2.14,9974.960000000001
44,2024-02-13,1.81,9975.45
45,2024-02-14,1.95,9975.99
46,2024-02-15,1.79,9976.48
47,2024-02-16,1.73,9976.960000000001
48,2024-02-17,2.15,9977.550000000001
49,2024-02-18,1.88,9978.060000000001
50,2024-02-19,1.82,9978.560000000001
51,2024-02-20,1.82,9979.060000000001
52,2024-02-21,2.04,9979.62
53,2024-02-22,2,9980.17
54,2024-02-23,2.23,9980.79
55,2024-02-24,2.2,9981.390000000001
56,2024-02-25,1.79,9981.880000000001
57,2024-02-26,2.02,9982.44
58,2024-02-27,1.99,9982.99
59,2024-02-28,2.13,9983.57
60,2024-02-29,2.08,9984.140000000001
61,2024-03-01,2.34,9984.79
62,2024-03-02,2.14,9985.37
63,2024-03-03,2.01,9985.93
64,2024-03-04,1.99,9986.470000000001
65,2024-03-05,2.05,9987.03
66,2024-03-06,2.12,9987.62
67,2024-03-07,2.05,9988.18
68,2024-03-08,2.36,9988.83
69,2024-03-09,2.28,9989.460000000001
70,2024-03-10,2.19,9990.060000000001
71,2024-03-11,2,9990.61
72,2024-03-12,2.32,9991.25
73,2024-03-13,1.99,9991.800000000001
74,2024-03-14,1.81,9992.29
75,2024-03-15,2.01,9992.85
76,2024-03-16,1.85,9993.36
77,2024-03-17,2.22,9993.970000000001
78,2024-03-18,1.92,9994.5
79,2024-03-19,2,9995.04
80,2024-03-20,2.32,9995.68
81,2024-03-21,2.3,9996.310000000001
82,2024-03-22,1.9,9996.84
83,2024-03-23,2.24,9997.45
84,2024-03-24,2.42,9998.12
85,2024-03-25,1.92,9998.65
86,2024-03-26,2.18,9999.25
87,2024-03-27,2.27,9999.87
88,2024-03-28,2.07,10000.44
89,2024-03-29,2.23,10001.050000000001
90,2024-03-30,2.2,10001.66
91,2024-03-31,2.61,10002.380000000001
92,2024-03-31,3.18,10003.25
93,2024-04-01,2.62,10003.970000000001
94,2024-04-02,2.92,10004.78
95,2024-04-03,3.13,10005.640000000001
96,2024-04-04,2.92,10006.45
97,2024-04-05,3.06,10007.29
98,2024-04-06,3.16,10008.16
99,2024-04-07,2.67,10008.890000000001
100,2024-04-08,3.11,10009.75
101,2024-04-09,2.95,10010.560000000001
102,2024-04-10,3.4,10011.5
103,2024-04-11,3.3,10012.41
104,2024-04-12,2.72,10013.16
105,2024-04-13,2.54,10013.86
106,2024-04-14,3.23,10014.75
107,2024-04-15,2.98,10015.57
108,2024-04-16,2.57,10016.28
109,2024-04-17,3.27,10017.18
110,2024-04-18,2.89,10017.970000000001
111,2024-04-19,2.72,10018.720000000001
112,2024-04-20,3.4,10019.66
113,2024-04-21,3.36,10020.59
114,2024-04-22,2.78,10021.36
115,2024-04-23,2.64,10022.08
116,2024-04-24,2.77,10022.85
117,2024-04-25,2.94,10023.66
118,2024-04-26,3.04,10024.5
119,2024-04-27,2.64,10025.23
120,2024-04-28,2.51,10025.92
121,2024-04-29,2.75,10026.68
122,2024-04-30,3.12,10027.54
123,2024-05-01,2.78,10028.300000000001
124,2024-05-02,2.81,10029.08
125,2024-05-03,2.81,10029.86
126,2024-05-04,2.68,10030.6
127,2024-05-05,2.49,10031.29
128,2024-05-06,2.5,10031.98
129,2024-05-07,2.67,10032.710000000001
130,2024-05-08,3.2,10033.6
131,2024-05-09,2.71,10034.35
132,2024-05-10,2.6,10035.060000000001
133,2024-05-11,3.01,10035.9
134,2024-05-12,2.49,10036.58
135,2024-05-13,2.62,10037.310000000001
136,2024-05-14,3.14,10038.18
137,2024-05-15,2.58,10038.890000000001
138,2024-05-16,2.48,10039.57
139,2024-05-17,2.53,10040.27
140,2024-05-18,2.51,10040.960000000001
141,2024-05-19,2.68,10041.710000000001
142,2024-05-20,2.84,10042.49
143,2024-05-21,3.13,10043.36
144,2024-05-22,2.52,10044.050000000001
145,2024-05-23,2.94,10044.87
146,2024-05-24,2.54,10045.57
147,2024-05-25,2.41,10046.24
148,2024-05-26,2.97,10047.060000000001
149,2024-05-27,2.6,10047.77
150,2024-05-28,2.57,10048.48
151,2024-05-29,2.91,10049.29
152,2024-05-30,2.46,10049.970000000001
153,2024-05-31,2.47,10050.66
154,2024-06-01,2.7,10051.4
155,2024-06-02,2.61,10052.12
156,2024-06-03,2.84,10052.91
157,2024-06-04,2.62,10053.640000000001
158,2024-06-05,2.59,10054.35
159,2024-06-06,2.2,10054.960000000001
160,2024-06-07,2.94,10055.78
161,2024-06-08,2.62,10056.5
162,2024-06-09,2.36,10057.15
163,2024-06-10,2.71,10057.91
164,2024-06-11,2.23,10058.52
165,2024-06-12,2.87,10059.32
166,2024-06-13,2.87,10060.11
167,2024-06-14,2.76,10060.880000000001
168,2024-06-15,2.12,10061.460000000001
169,2024-06-16,2.17,10062.060000000001
170,2024-06-17,2.49,10062.75
171,2024-06-18,2.54,10063.460000000001
172,2024-06-19,2.34,10064.1
173,2024-06-20,2.36,10064.76
174,2024-06-21,2.1,10065.34
175,2024-06-22,2.41,10066.01
176,2024-06-23,2.15,10066.61
177,2024-06-24,2.47,10067.29
178,2024-06-25,2.1,10067.87
179,2024-06-26,2.18,10068.48
180,2024-06-27,2.14,10069.07
181,2024-06-28,2.73,10069.83
182,2024-06-29,2.89,10070.630000000001
183,2024-06-30,3.13,10071.49
184,2024-07-01,3.26,10072.4
185,2024-07-02,3.21,10073.29
186,2024-07-03,3.38,10074.220000000001
187,2024-07-04,2.88,10075.02
188,2024-07-05,2.52,10075.720000000001
189,2024-07-06,2.67,10076.460000000001
190,2024-07-07,3.25,10077.36
191,2024-07-08,3.14,10078.23
192,2024-07-09,3.03,10079.07
193,2024-07-10,3.25,10079.970000000001
194,2024-07-11,2.47,10080.66
195,2024-07-12,2.65,10081.4
196,2024-07-13,3.11,10082.26
197,2024-07-14,2.83,10083.04
198,2024-07-15,2.7,10083.79
199,2024-07-16,2.5,10084.49
200,2024-07-17,2.52,10085.19
201,2024-07-18,2.7,10085.93
202,2024-07-19,2.9,10086.74
203,2024-07-20,2.31,10087.380000000001
204,2024-07-21,2.69,10088.130000000001
205,2024-07-22,2.91,10088.93
206,2024-07-23,2.66,10089.67
207,2024-07-24,2.53,10090.37
208,2024-07-25,2.5,10091.07
209,2024-07-26,2.55,10091.78
210,2024-07-27,2.51,10092.48
211,2024-07-28,2.79,10093.25
212,2024-07-29,2.68,10094
213,2024-07-30,2.81,10094.78
214,2024-07-31,2.56,10095.49
215,2024-08-01,2.25,10096.11
216,2024-08-02,2.7,10096.86
217,2024-08-03,2.41,10097.53
218,2024-08-04,2.32,10098.18
219,2024-08-05,2.17,10098.78
220,2024-08-06,2.67,10099.53
221,2024-08-07,2.6,10100.25
222,2024-08-08,2.22,10100.87
223,2024-08-09,2.31,10101.51
224,2024-08-10,2.31,10102.15
225,2024-08-11,2.71,10102.91
226,2024-08-12,2.61,10103.630000000001
227,2024-08-13,2.14,10104.23
228,2024-08-14,2.18,10104.84
229,2024-08-15,2.42,10105.51
230,2024-08-16,2.25,10106.140000000001
231,2024-08-17,2.11,10106.720000000001
232,2024-08-18,2.57,10107.44
233,2024-08-19,2.56,10108.15
234,2024-08-20,2.21,10108.77
235,2024-08-21,2.6,10109.49
236,2024-08-22,2.29,10110.130000000001
237,2024-08-23,2.12,10110.720000000001
238,2024-08-24,2.49,10111.41
239,2024-08-25,2.01,10111.970000000001
240,2024-08-26,2.47,10112.66
241,2024-08-27,2.29,10113.300000000001
242,2024-08-28,2.23,10113.92
243,2024-08-29,2.03,10114.48
244,2024-08-30,2.27,10115.11
245,2024-08-31,2.26,10115.74
246,2024-09-01,2.46,10116.43
247,2024-09-02,2.08,10117.01
248,2024-09-03,2.31,10117.65
249,2024-09-04,2.07,10118.23
250,2024-09-05,2.46,10118.91
251,2024-09-06,1.91,10119.44
252,2024-09-07,2.17,10120.050000000001
253,2024-09-08,2.06,10120.62
254,2024-09-09,2.33,10121.27
255,2024-09-10,2.46,10121.960000000001
256,2024-09-11,1.86,10122.470000000001
257,2024-09-12,1.82,10122.98
258,2024-09-13,1.98,10123.53
259,2024-09-14,1.95,10124.07
260,2024-09-15,1.93,10124.61
261,2024-09-16,1.84,10125.130000000001
262,2024-09-17,2.01,10125.69
263,2024-09-18,2.35,10126.34
264,2024-09-19,2.3,10126.98
265,2024-09-20,2.36,10127.640000000001
266,2024-09-21,2.35,10128.300000000001
267,2024-09-22,1.9,10128.83
268,2024-09-23,2.05,10129.4
269,2024-09-24,2.06,10129.970000000001
270,2024-09-25,1.99,10130.53
271,2024-09-26,2.27,10131.16
272,2024-09-27,2.61,10131.890000000001
273,2024-09-28,2.85,10132.68
274,2024-09-29,2.9,10133.49
275,2024-09-30,2.54,10134.2
276,2024-10-01,2.45,10134.880000000001
277,2024-10-02,2.62,10135.62
278,2024-10-03,2.84,10136.41
279,2024-10-04,2.34,10137.060000000001
280,2024-10-05,2.68,10137.810000000001
281,2024-10-06,3,10138.640000000001
282,2024-10-07,2.65,10139.380000000001
283,2024-10-08,2.44,10140.060000000001
284,2024-10-09,2.58,10140.78
285,2024-10-10,2.46,10141.470000000001
286,2024-10-11,2.31,10142.11
287,2024-10-12,2.36,10142.77
288,2024-10-13,2.92,10143.59
289,2024-10-14,2.36,10144.24
290,2024-10-15,2.55,10144.960000000001
291,2024-10-16,2.54,10145.67
292,2024-10-17,2.55,10146.380000000001
293,2024-10-18,2.81,10147.16
294,2024-10-19,2.92,10147.98
295,2024-10-20,2.53,10148.68
296,2024-10-21,2.46,10149.37
297,2024-10-22,2.45,10150.060000000001
298,2024-10-23,3.03,10150.9
299,2024-10-24,2.48,10151.59
300,2024-10-25,2.65,10152.34
301,2024-10-26,2.69,10153.09
302,2024-10-28,3.13,10153.960000000001
303,2024-10-29,3.06,10154.82
304,2024-10-30,2.47,10155.51
305,2024-10-31,2.66,10156.25
306,2024-11-01,2.77,10157.02
307,2024-11-02,2.88,10157.83
308,2024-11-03,3.09,10158.69
309,2024-11-04,3.01,10159.54
310,2024-11-05,2.98,10160.37
311,2024-11-06,2.59,10161.09
312,2024-11-07,2.96,10161.92
313,2024-11-08,2.5,10162.62
314,2024-11-09,3.24,10163.53
315,2024-11-10,2.73,10164.29
316,2024-11-11,2.89,10165.1
317,2024-11-12,2.88,10165.91
318,2024-11-13,3.09,10166.77
319,2024-11-14,3.35,10167.710000000001
320,2024-11-15,2.95,10168.53
321,2024-11-16,2.9,10169.34
322,2024-11-17,3.35,10170.28
323,2024-11-18,2.63,10171.01
324,2024-11-19,2.64,10171.75
325,2024-11-20,3.46,10172.720000000001
326,2024-11-21,3.21,10173.62
327,2024-11-22,3.34,10174.560000000001
328,2024-11-23,2.96,10175.390000000001
329,2024-11-24,3.26,10176.300000000001
330,2024-11-25,3.35,10177.24
331,2024-11-26,3.29,10178.16
332,2024-11-27,3.66,10179.19
333,2024-11-28,2.88,10179.99
334,2024-11-29,3.4,10180.94
335,2024-11-30,2.78,10181.720000000001
336,2024-12-01,3.34,10182.66
337,2024-12-02,3.34,10183.59
338,2024-12-03,3.67,10184.62
