Day,Date,APY,Portfolio Value
1,2024-01-01,6.52,10001.79
2,2024-01-02,6.26,10003.5
3,2024-01-03,6.11,10005.18
4,2024-01-04,5.9,10006.8
5,2024-01-05,6.34,10008.53
6,2024-01-06,5.74,10010.11
7,2024-01-07,6.07,10011.77
8,2024-01-08,6.15,10013.46
9,2024-01-09,5.9,10015.08
10,2024-01-10,5.94,10016.71
11,2024-01-11,6.21,10018.42
12,2024-01-12,6.12,10020.1
13,2024-01-13,5.71,10021.66
14,2024-01-14,6.18,10023.36
15,2024-01-15,5.73,10024.93
16,2024-01-16,5.87,10026.55
17,2024-01-17,5.75,10028.13
18,2024-01-18,6.11,10029.8
19,2024-01-19,5.67,10031.36
20,2024-01-20,5.52,10032.88
21,2024-01-21,5.53,10034.4
22,2024-01-22,6.21,10036.11
23,2024-01-23,5.52,10037.63
24,2024-01-24,5.4,10039.11
25,2024-01-25,5.42,10040.6
26,2024-01-26,5.86,10042.22
27,2024-01-27,5.45,10043.71
28,2024-01-28,5.65,10045.27
29,2024-01-29,5.71,10046.84
30,2024-01-30,5.58,10048.38
31,2024-01-31,5.37,10049.86
32,2024-02-01,5.66,10051.41
33,2024-02-02,5.81,10053.01
34,2024-02-03,5.16,10054.44
35,2024-02-04,5.37,10055.91
36,2024-02-05,5.93,10057.55
37,2024-02-06,5.34,10059.02
38,2024-02-07,5.45,10060.52
39,2024-02-08,5.32,10061.98
40,2024-02-09,7.17,10063.96
41,2024-02-10,5.35,10065.43
42,2024-02-11,4.98,10066.81
43,2024-02-12,5.1,10068.21
44,2024-02-13,5.55,10069.74
45,2024-02-14,7.08,10071.7
46,2024-02-15,5.25,10073.15
47,2024-02-16,5.16,10074.57
48,2024-02-17,5.09,10075.98
49,2024-02-18,5.17,10077.4
50,2024-02-19,5.53,10078.93
51,2024-02-20,4.92,10080.29
52,2024-02-21,4.8,10081.61
53,2024-02-22,5.08,10083.02
54,2024-02-23,4.72,10084.32
55,2024-02-24,4.85,10085.66
56,2024-02-25,4.71,10086.96
57,2024-02-26,5.51,10088.49
58,2024-02-27,5.21,10089.93
59,2024-02-28,5.08,10091.33
60,2024-02-29,6.63,10093.16
61,2024-03-01,5.3,10094.63
62,2024-03-02,4.74,10095.94
63,2024-03-03,5.2,10097.38
64,2024-03-04,4.93,10098.74
65,2024-03-05,4.99,10100.12
66,2024-03-06,5.12,10101.54
67,2024-03-07,4.78,10102.86
68,2024-03-08,5.03,10104.26
69,2024-03-09,4.68,10105.55
70,2024-03-10,4.59,10106.82
71,2024-03-11,5.2,10108.26
72,2024-03-12,4.66,10109.55
73,2024-03-13,5.09,10110.96
74,2024-03-14,4.72,10112.27
75,2024-03-15,4.97,10113.64
76,2024-03-16,4.73,10114.95
77,2024-03-17,5.3,10116.42
78,2024-03-18,4.54,10117.68
79,2024-03-19,4.61,10118.96
80,2024-03-20,4.48,10120.2
81,2024-03-21,5.71,10121.79
82,2024-03-22,4.35,10122.99
83,2024-03-23,4.51,10124.24
84,2024-03-24,5.4,10125.74
85,2024-03-25,4.8,10127.07
86,2024-03-26,4.37,10128.29
87,2024-03-27,4.82,10129.62
88,2024-03-28,4.17,10130.78
89,2024-03-29,4.74,10132.1
90,2024-03-30,4.25,10133.28
91,2024-03-31,4.76,10134.6
92,2024-03-31,5.02,10135.99
93,2024-04-01,4.89,10137.35
94,2024-04-02,4.65,10138.64
95,2024-04-03,5.44,10140.15
96,2024-04-04,4.79,10141.48
97,2024-04-05,4.98,10142.87
98,2024-04-06,5,10144.26
99,2024-04-07,4.83,10145.6
100,2024-04-08,4.77,10146.93
101,2024-04-09,4.81,10148.27
102,2024-04-10,4.55,10149.53
103,2024-04-11,4.44,10150.76
104,2024-04-12,4.49,10152.01
105,2024-04-13,4.8,10153.35
106,2024-04-14,4.79,10154.68
107,2024-04-15,4.52,10155.94
108,2024-04-16,4.79,10157.27
109,2024-04-17,4.45,10158.51
110,2024-04-18,4.34,10159.72
111,2024-04-19,4.36,10160.93
112,2024-04-20,4.57,10162.2
113,2024-04-21,4.57,10163.47
114,2024-04-22,4.64,10164.76
115,2024-04-23,4.62,10166.05
116,2024-04-24,4.58,10167.33
117,2024-04-25,4.81,10168.67
118,2024-04-26,4.6,10169.95
119,2024-04-27,4.44,10171.19
120,2024-04-28,4.61,10172.47
121,2024-04-29,4.37,10173.69
122,2024-04-30,4.64,10174.98
123,2024-05-01,4.5,10176.23
124,2024-05-02,4.5,10177.49
125,2024-05-03,4.22,10178.67
126,2024-05-04,4.43,10179.9
127,2024-05-05,4.58,10181.18
128,2024-05-06,4.77,10182.51
129,2024-05-07,4.61,10183.8
130,2024-05-08,4.16,10184.96
131,2024-05-09,4.46,10186.2
132,2024-05-10,4.14,10187.36
133,2024-05-11,4.58,10188.63
134,2024-05-12,4.45,10189.88
135,2024-05-13,4.53,10191.14
136,2024-05-14,4.11,10192.29
137,2024-05-15,4.49,10193.54
138,2024-05-16,4.59,10194.82
139,2024-05-17,6.22,10196.56
140,2024-05-18,4.24,10197.75
141,2024-05-19,4.32,10198.95
142,2024-05-20,4.24,10200.14
143,2024-05-21,4.01,10201.26
144,2024-05-22,4.45,10202.51
145,2024-05-23,3.99,10203.62
146,2024-05-24,4.05,10204.75
147,2024-05-25,4.26,10205.94
148,2024-05-26,4.49,10207.2
