Day,Date,APY,Portfolio Value
1,2024-01-01,3.9,9956.06
2,2024-01-02,3.76,9957.09
3,2024-01-03,3.6,9958.07
4,2024-01-04,3.56,9959.04
5,2024-01-05,3.56,9960.01
6,2024-01-06,3.81,9961.05
7,2024-01-07,3.88,9962.11
8,2024-01-08,3.97,9963.19
9,2024-01-09,3.77,9964.22
10,2024-01-10,3.66,9965.22
11,2024-01-11,3.72,9966.24
12,2024-01-12,3.84,9967.29
13,2024-01-13,3.79,9968.32
14,2024-01-14,3.59,9969.3
15,2024-01-15,3.8,9970.34
16,2024-01-16,3.87,9971.4
17,2024-01-17,3.64,9972.39
18,2024-01-18,3.95,9973.47
19,2024-01-19,4.02,9974.57
20,2024-01-20,5,9975.93
21,2024-01-21,4.19,9977.08
22,2024-01-22,3.97,9978.16
23,2024-01-23,3.76,9979.19
24,2024-01-24,3.99,9980.28
25,2024-01-25,4.04,9981.39
26,2024-01-26,3.83,9982.43
27,2024-01-27,3.68,9983.44
28,2024-01-28,3.66,9984.44
29,2024-01-29,3.98,9985.53
30,2024-01-30,4.05,9986.64
31,2024-01-31,4.06,9987.75
32,2024-02-01,3.88,9988.81
33,2024-02-02,3.85,9989.86
34,2024-02-03,3.78,9990.9
35,2024-02-04,3.72,9991.92
36,2024-02-05,3.76,9992.95
37,2024-02-06,4.07,9994.06
38,2024-02-07,4,9995.16
39,2024-02-08,3.84,9996.21
40,2024-02-09,3.76,9997.24
41,2024-02-10,3.67,9998.25
42,2024-02-11,3.59,9999.23
43,2024-02-12,3.73,10000.25
44,2024-02-13,3.93,10001.33
45,2024-02-14,3.81,10002.37
46,2024-02-15,4.75,10003.67
47,2024-02-16,4.23,10004.83
48,2024-02-17,3.92,10005.91
49,2024-02-18,3.84,10006.96
50,2024-02-19,3.92,10008.04
51,2024-02-20,3.98,10009.13
52,2024-02-21,3.98,10010.22
53,2024-02-22,3.91,10011.29
54,2024-02-23,3.89,10012.36
55,2024-02-24,3.66,10013.36
56,2024-02-25,3.87,10014.42
57,2024-02-26,3.91,10015.5
58,2024-02-27,3.96,10016.59
59,2024-02-28,4.04,10017.69
60,2024-02-29,3.86,10018.75
61,2024-03-01,3.97,10019.84
62,2024-03-02,3.7,10020.86
63,2024-03-03,3.63,10021.86
64,2024-03-04,3.97,10022.95
65,2024-03-05,4.1,10024.07
66,2024-03-06,3.99,10025.17
67,2024-03-07,3.81,10026.21
68,2024-03-08,3.64,10027.22
69,2024-03-09,3.6,10028.2
70,2024-03-10,3.49,10029.16
71,2024-03-11,3.73,10030.18
72,2024-03-12,3.8,10031.23
73,2024-03-13,3.82,10032.28
74,2024-03-14,4.01,10033.38
75,2024-03-15,4.04,10034.49
76,2024-03-16,3.88,10035.56
77,2024-03-17,3.77,10036.6
78,2024-03-18,3.79,10037.64
79,2024-03-19,4.06,10038.75
80,2024-03-20,4.76,10040.07
81,2024-03-21,4.18,10041.22
82,2024-03-22,3.93,10042.3
83,2024-03-23,3.87,10043.36
84,2024-03-24,3.83,10044.41
85,2024-03-25,3.88,10045.48
86,2024-03-26,3.99,10046.58
87,2024-03-27,3.67,10047.59
88,2024-03-28,3.94,10048.67
89,2024-03-29,3.83,10049.73
90,2024-03-30,3.57,10050.71
91,2024-03-31,4.13,10051.85
92,2024-03-31,4.39,10053.06
93,2024-04-01,4.61,10054.33
94,2024-04-02,4.29,10055.51
95,2024-04-03,3.91,10056.59
96,2024-04-04,4.18,10057.74
97,2024-04-05,4.68,10059.03
98,2024-04-06,4.14,10060.17
99,2024-04-07,4.39,10061.38
100,2024-04-08,4.21,10062.54
101,2024-04-09,4.09,10063.67
102,2024-04-10,4.42,10064.89
103,2024-04-11,4.47,10066.12
104,2024-04-12,4.22,10067.28
105,2024-04-13,4.06,10068.4
106,2024-04-14,4.47,10069.63
107,2024-04-15,4.22,10070.8
108,2024-04-16,4.37,10072.01
109,2024-04-17,4.21,10073.17
110,2024-04-18,4.23,10074.34
111,2024-04-19,4.28,10075.52
112,2024-04-20,4.37,10076.73
113,2024-04-21,4.1,10077.86
114,2024-04-22,4.37,10079.06
115,2024-04-23,4.52,10080.31
116,2024-04-24,4.4,10081.53
117,2024-04-25,4.29,10082.71
118,2024-04-26,4.04,10083.82
119,2024-04-27,4.12,10084.96
120,2024-04-28,4.09,10086.09
121,2024-04-29,4.52,10087.34
122,2024-04-30,4.52,10088.59
123,2024-05-01,4.13,10089.73
124,2024-05-02,4.38,10090.94
125,2024-05-03,4.19,10092.1
126,2024-05-04,4,10093.21
127,2024-05-05,4.37,10094.42
128,2024-05-06,4.13,10095.56
129,2024-05-07,4.23,10096.73
130,2024-05-08,4.27,10097.91
131,2024-05-09,3.96,10099
132,2024-05-10,4.02,10100.11
133,2024-05-11,4.3,10101.3
134,2024-05-12,4.08,10102.43
135,2024-05-13,4.74,10103.75
136,2024-05-14,4.17,10104.9
137,2024-05-15,4.21,10106.07
138,2024-05-16,4.4,10107.28
139,2024-05-17,4.32,10108.48
140,2024-05-18,3.97,10109.58
141,2024-05-19,4.05,10110.7
142,2024-05-20,4.17,10111.86
143,2024-05-21,4.1,10112.99
144,2024-05-22,4.32,10114.19
145,2024-05-23,4.35,10115.39
146,2024-05-24,3.95,10116.49
147,2024-05-25,3.85,10117.56
148,2024-05-26,4.22,10118.73
149,2024-05-27,4.33,10119.93
150,2024-05-28,4.41,10121.15
151,2024-05-29,4.2,10122.32
152,2024-05-30,4.11,10123.46
153,2024-05-31,3.87,10124.53
154,2024-06-01,4.21,10125.7
155,2024-06-02,4.1,10126.84
156,2024-06-03,4.09,10127.97
157,2024-06-04,4.19,10129.13
158,2024-06-05,4.33,10130.33
159,2024-06-06,4.06,10131.46
160,2024-06-07,4.14,10132.61
161,2024-06-08,3.87,10133.69
162,2024-06-09,4.18,10134.85
163,2024-06-10,5.45,10136.36
164,2024-06-11,4.84,10137.71
165,2024-06-12,4.41,10138.93
166,2024-06-13,4.26,10140.11
167,2024-06-14,3.94,10141.21
168,2024-06-15,3.97,10142.31
169,2024-06-16,4.12,10143.46
170,2024-06-17,4.26,10144.64
171,2024-06-18,4.43,10145.87
172,2024-06-19,4.1,10147.01
173,2024-06-20,4.2,10148.18
174,2024-06-21,4.03,10149.3
175,2024-06-22,3.87,10150.38
176,2024-06-23,4.35,10151.59
177,2024-06-24,4.58,10152.86
178,2024-06-25,4.54,10154.12
179,2024-06-26,4.36,10155.34
180,2024-06-27,4.15,10156.49
181,2024-06-28,3.43,10157.45
182,2024-06-29,3.34,10158.38
183,2024-06-30,3.39,10159.32
184,2024-07-01,3.53,10160.3
185,2024-07-02,3.55,10161.29
186,2024-07-03,3.42,10162.24
187,2024-07-04,3.39,10163.19
188,2024-07-05,3.19,10164.08
189,2024-07-06,3.09,10164.94
190,2024-07-07,3.46,10165.9
191,2024-07-08,3.66,10166.92
192,2024-07-09,3.35,10167.85
193,2024-07-10,3.47,10168.82
194,2024-07-11,3.35,10169.75
195,2024-07-12,3.19,10170.64
196,2024-07-13,3.24,10171.54
197,2024-07-14,3.63,10172.56
198,2024-07-15,3.42,10173.51
199,2024-07-16,3.52,10174.49
200,2024-07-17,3.53,10175.48
201,2024-07-18,3.58,10176.47
202,2024-07-19,3.25,10177.38
203,2024-07-20,3.44,10178.34
204,2024-07-21,3.65,10179.36
205,2024-07-22,3.62,10180.37
206,2024-07-23,3.39,10181.31
207,2024-07-24,3.3,10182.23
208,2024-07-25,3.41,10183.18
209,2024-07-26,3.26,10184.09
210,2024-07-27,3.39,10185.04
211,2024-07-28,3.45,10186
212,2024-07-29,3.52,10186.99
213,2024-07-30,3.5,10187.96
214,2024-07-31,3.51,10188.94
215,2024-08-01,3.45,10189.91
216,2024-08-02,3.21,10190.8
217,2024-08-03,3.18,10191.69
218,2024-08-04,3.57,10192.69
219,2024-08-05,3.45,10193.65
220,2024-08-06,3.59,10194.65
221,2024-08-07,3.55,10195.64
222,2024-08-08,3.53,10196.63
223,2024-08-09,3.48,10197.6
224,2024-08-10,3.4,10198.55
225,2024-08-11,3.51,10199.53
226,2024-08-12,3.69,10200.56
227,2024-08-13,3.5,10201.54
228,2024-08-14,3.51,10202.52
229,2024-08-15,3.52,10203.51
230,2024-08-16,3.26,10204.42
231,2024-08-17,3.28,10205.34
232,2024-08-18,3.46,10206.3
233,2024-08-19,3.38,10207.25
234,2024-08-20,3.56,10208.24
235,2024-08-21,3.6,10209.25
236,2024-08-22,3.57,10210.25
237,2024-08-23,3.49,10211.22
238,2024-08-24,3.46,10212.19
239,2024-08-25,3.53,10213.18
240,2024-08-26,3.67,10214.21
241,2024-08-27,3.55,10215.2
242,2024-08-28,3.46,10216.17
243,2024-08-29,3.57,10217.17
244,2024-08-30,3.47,10218.14
245,2024-08-31,3.47,10219.11
246,2024-09-01,3.68,10220.14
247,2024-09-02,3.5,10221.12
248,2024-09-03,3.48,10222.09
249,2024-09-04,3.42,10223.05
250,2024-09-05,3.38,10224
251,2024-09-06,3.32,10224.93
252,2024-09-07,3.32,10225.86
253,2024-09-08,3.42,10226.81
254,2024-09-09,3.6,10227.82
255,2024-09-10,3.52,10228.81
256,2024-09-11,3.46,10229.78
257,2024-09-12,3.38,10230.73
258,2024-09-13,3.43,10231.69
259,2024-09-14,3.31,10232.62
260,2024-09-15,3.37,10233.56
261,2024-09-16,3.41,10234.52
262,2024-09-17,3.41,10235.47
263,2024-09-18,3.23,10236.38
264,2024-09-19,3.4,10237.33
265,2024-09-20,3.4,10238.29
266,2024-09-21,3.34,10239.23
267,2024-09-22,3.56,10240.22
268,2024-09-23,3.68,10241.25
269,2024-09-24,3.32,10242.19
270,2024-09-25,3.39,10243.14
271,2024-09-26,4.07,10244.28
272,2024-09-27,4.47,10245.53
273,2024-09-28,4.27,10246.73
274,2024-09-29,4.59,10248.02
275,2024-09-30,4.97,10249.41
276,2024-10-01,4.73,10250.74
277,2024-10-02,4.55,10252.02
278,2024-10-03,4.65,10253.33
279,2024-10-04,4.7,10254.65
280,2024-10-05,3.7,10255.68
281,2024-10-06,4.42,10256.93
282,2024-10-07,4.76,10258.27
283,2024-10-08,4.68,10259.58
284,2024-10-09,4.75,10260.92
285,2024-10-10,4.62,10262.22
286,2024-10-11,4.36,10263.44
287,2024-10-12,4.41,10264.68
288,2024-10-13,4.73,10266.01
289,2024-10-14,4.89,10267.39
290,2024-10-15,4.99,10268.79
291,2024-10-16,5.32,10270.29
292,2024-10-17,4.83,10271.65
293,2024-10-18,4.26,10272.84
294,2024-10-19,4.78,10274.19
295,2024-10-20,4.53,10275.46
296,2024-10-21,4.75,10276.8
297,2024-10-22,4.41,10278.04
298,2024-10-23,4.43,10279.29
299,2024-10-24,4.51,10280.56
300,2024-10-25,4.51,10281.83
301,2024-10-26,4.31,10283.05
302,2024-10-28,4.35,10284.27
303,2024-10-29,4.61,10285.57
304,2024-10-30,5.71,10287.18
305,2024-10-31,4.72,10288.51
306,2024-11-01,4.91,10289.89
307,2024-11-02,4.77,10291.24
308,2024-11-03,4.6,10292.54
309,2024-11-04,4.43,10293.79
310,2024-11-05,4.31,10295
311,2024-11-06,4.26,10296.21
312,2024-11-07,4.74,10297.54
313,2024-11-08,4.7,10298.87
314,2024-11-09,4.87,10300.24
315,2024-11-10,4.41,10301.49
316,2024-11-11,4.38,10302.73
317,2024-11-12,4.83,10304.09
318,2024-11-13,4.69,10305.41
319,2024-11-14,4.4,10306.66
320,2024-11-15,4.74,10307.99
321,2024-11-16,4.26,10309.2
322,2024-11-17,3.58,10310.21
323,2024-11-18,4.09,10311.36
324,2024-11-19,4.71,10312.7
325,2024-11-20,4.77,10314.04
326,2024-11-21,4.64,10315.35
327,2024-11-22,5.6,10316.94
328,2024-11-23,5.17,10318.4
329,2024-11-24,5.02,10319.81
330,2024-11-25,4.72,10321.15
331,2024-11-26,4.99,10322.56
332,2024-11-27,4.96,10323.96
333,2024-11-28,4.7,10325.29
334,2024-11-29,4.34,10326.52
335,2024-11-30,4.34,10327.75
336,2024-12-01,4.15,10328.92
337,2024-12-02,4.92,10330.31
338,2024-12-03,4.66,10331.63
339,2024-12-04,4.62,10332.94
340,2024-12-05,4.63,10334.25
341,2024-12-06,4.89,10335.64
342,2024-12-07,4.86,10337.01
343,2024-12-08,4.6,10338.32
344,2024-12-09,4.68,10339.64
345,2024-12-10,4.7,10340.97
346,2024-12-11,4.46,10342.24
347,2024-12-12,4.64,10343.55
348,2024-12-13,4.65,10344.87
349,2024-12-14,4.57,10346.17
350,2024-12-15,4.67,10347.49
351,2024-12-16,4.79,10348.85
352,2024-12-17,4.58,10350.15
353,2024-12-18,4.69,10351.48
354,2024-12-19,4.46,10352.74
355,2024-12-20,4.3,10353.96
356,2024-12-21,4.13,10355.13
357,2024-12-22,4.7,10356.47
358,2024-12-23,4.79,10357.83
359,2024-12-24,4.48,10359.1
360,2024-12-25,4.76,10360.45
361,2024-12-26,4.86,10361.83
362,2024-12-27,4.41,10363.08
363,2024-12-28,4.19,10364.27
364,2024-12-29,4.69,10365.6
365,2024-12-30,4.53,10366.89
