Day,Date,Protocol,Chain,APY,Portfolio Value,Daily Yield,Costs
1,2024-01-01,Uniswap V3,Arbitrum,4.36,9990.4,1.19,10.79
2,2024-01-02,Uniswap V3,Arbitrum,5.04,9991.78,1.38,0
3,2024-01-03,Uniswap V3,Arbitrum,3.91,9992.85,1.07,0
4,2024-01-04,Uniswap V3,Arbitrum,3.84,9993.9,1.05,0
5,2024-01-05,Uniswap V3,Arbitrum,4.59,9995.16,1.26,0
6,2024-01-06,Uniswap V3,Arbitrum,3.95,9996.24,1.08,0
7,2024-01-07,Uniswap V3,Arbitrum,5.15,9997.65,1.41,0
8,2024-01-08,Uniswap V3,Arbitrum,3.87,9998.71,1.06,0
9,2024-01-09,Uniswap V3,Arbitrum,5.02,10000.09,1.37,0
10,2024-01-10,Uniswap V3,Arbitrum,4.72,10001.38,1.29,0
11,2024-01-11,Uniswap V3,Arbitrum,5.06,10001.16,1.39,1.61
12,2024-01-12,Uniswap V3,Arbitrum,4.16,10002.3,1.14,0
13,2024-01-13,Uniswap V3,Arbitrum,4.1,10003.42,1.12,0
14,2024-01-14,Uniswap V3,Arbitrum,4.36,10004.62,1.19,0
15,2024-01-15,Uniswap V3,Arbitrum,5.84,10006.22,1.6,0
16,2024-01-16,Uniswap V3,Arbitrum,3.28,10007.11,0.9,0
17,2024-01-17,Uniswap V3,Arbitrum,4.62,10008.38,1.27,0
18,2024-01-18,Uniswap V3,Arbitrum,3.63,10009.38,1,0
19,2024-01-19,Uniswap V3,Arbitrum,3.97,10010.47,1.09,0
20,2024-01-20,Uniswap V3,Arbitrum,5.46,10011.96,1.5,0
21,2024-01-21,Uniswap V3,Arbitrum,4.99,10013.33,1.37,0
22,2024-01-22,Uniswap V3,Arbitrum,3.48,10014.29,0.96,0
23,2024-01-23,Uniswap V3,Arbitrum,5.36,10015.76,1.47,0
24,2024-01-24,Uniswap V3,Arbitrum,4.75,10017.06,1.3,0
25,2024-01-25,Uniswap V3,Arbitrum,5,10018.43,1.37,0
26,2024-01-26,Uniswap V3,Arbitrum,4.65,10019.71,1.28,0
27,2024-01-27,Uniswap V3,Arbitrum,4.85,10021.04,1.33,0
28,2024-01-28,Uniswap V3,Arbitrum,3.65,10022.04,1,0
29,2024-01-29,Uniswap V3,Arbitrum,4.78,10023.35,1.31,0
30,2024-01-30,Uniswap V3,Arbitrum,3.78,10024.39,1.04,0
31,2024-01-31,Uniswap V3,Arbitrum,4.91,10025.74,1.35,0
32,2024-02-01,Uniswap V3,Arbitrum,4.51,10026.98,1.24,0
33,2024-02-02,Uniswap V3,Arbitrum,4.34,10028.17,1.19,0
34,2024-02-03,Uniswap V3,Arbitrum,6.69,10030.01,1.84,0
35,2024-02-04,Balancer,Arbitrum,6.65,10027.94,1.83,3.89
36,2024-02-05,Balancer,Arbitrum,4.47,10029.17,1.23,0
37,2024-02-06,Balancer,Arbitrum,6.55,10029.85,1.8,1.12
38,2024-02-07,Balancer,Arbitrum,5.41,10028.25,1.49,3.09
39,2024-02-08,Balancer,Arbitrum,3.63,10029.24,1,0
40,2024-02-09,Balancer,Arbitrum,5.85,10030.85,1.61,0
41,2024-02-10,Balancer,Arbitrum,4.87,10032.19,1.34,0
42,2024-02-11,Uniswap V3,Arbitrum,8.01,10028.11,2.2,6.28
43,2024-02-12,Uniswap V3,Arbitrum,5.1,10029.51,1.4,0
44,2024-02-13,Uniswap V3,Arbitrum,4.86,10030.85,1.34,0
45,2024-02-14,Uniswap V3,Arbitrum,5.18,10032.27,1.42,0
46,2024-02-15,Uniswap V3,Arbitrum,4.66,10033.55,1.28,0
47,2024-02-16,Uniswap V3,Arbitrum,7.83,10035.7,2.15,0
48,2024-02-17,Uniswap V3,Arbitrum,3.59,10036.69,0.99,0
49,2024-02-18,Uniswap V3,Arbitrum,4.2,10037.84,1.16,0
50,2024-02-19,Uniswap V3,Arbitrum,5.41,10039.33,1.49,0
51,2024-02-20,Uniswap V3,Arbitrum,4.85,10040.66,1.33,0
52,2024-02-21,Uniswap V3,Arbitrum,4.86,10042,1.34,0
53,2024-02-22,Uniswap V3,Arbitrum,5.4,10043.49,1.48,0
54,2024-02-23,Uniswap V3,Arbitrum,4.52,10044.73,1.24,0
55,2024-02-24,Uniswap V3,Arbitrum,5.28,10046.18,1.45,0
56,2024-02-25,Uniswap V3,Arbitrum,4.45,10047.41,1.23,0
57,2024-02-26,Uniswap V3,Arbitrum,5.77,10049,1.59,0
58,2024-02-27,Uniswap V3,Arbitrum,4.21,10050.16,1.16,0
59,2024-02-28,Uniswap V3,Arbitrum,4.25,10051.33,1.17,0
60,2024-02-29,Uniswap V3,Arbitrum,4.73,10052.63,1.3,0
61,2024-03-01,Uniswap V3,Arbitrum,6.09,10054.31,1.68,0
62,2024-03-02,Uniswap V3,Arbitrum,4.3,10055.49,1.18,0
63,2024-03-03,Uniswap V3,Arbitrum,4.01,10056.6,1.11,0
64,2024-03-04,Uniswap V3,Arbitrum,4.91,10057.95,1.35,0
65,2024-03-05,Uniswap V3,Arbitrum,4.52,10059.19,1.24,0
66,2024-03-06,Uniswap V3,Arbitrum,5.07,10060.59,1.4,0
67,2024-03-07,Uniswap V3,Arbitrum,3.97,10061.69,1.09,0
68,2024-03-08,Uniswap V3,Arbitrum,5.02,10063.07,1.38,0
69,2024-03-09,Uniswap V3,Arbitrum,4.79,10064.39,1.32,0
