Day,Date,Protocol,Chain,APY,Portfolio Value,Daily Yield,Costs
1,2024-07-01,Pendle,Arbitrum,12.71,9996.85,3.48,6.63
2,2024-07-02,Pendle,Arbitrum,14.60,10000.02,4.00,0.83
3,2024-07-03,Pendle,Arbitrum,16.29,10004.48,4.46,0.00
4,2024-07-04,Pendle,Arbitrum,14.47,10007.38,3.96,1.07
5,2024-07-05,Pendle,Arbitrum,15.63,10011.66,4.28,0.00
6,2024-07-06,Balancer,Arbitrum,12.54,10013.27,3.44,1.82
7,2024-07-07,Pendle,Arbitrum,14.91,10015.56,4.08,1.80
8,2024-07-08,Pendle,Arbitrum,15.15,10019.71,4.15,0.00
9,2024-07-09,Pendle,Arbitrum,13.71,10023.46,3.75,0.00
10,2024-07-10,Pendle,Arbitrum,13.73,10027.22,3.76,0.00
11,2024-07-11,Pendle,Arbitrum,13.87,10031.02,3.80,0.00
12,2024-07-12,Pendle,Arbitrum,15.03,10035.13,4.11,0.00
13,2024-07-13,Pendle,Arbitrum,13.56,10038.85,3.71,0.00
14,2024-07-14,Pendle,Arbitrum,15.53,10043.10,4.25,0.00
15,2024-07-15,Pendle,Arbitrum,14.65,10047.11,4.01,0.00
16,2024-07-16,Pendle,Arbitrum,15.02,10051.22,4.11,0.00
17,2024-07-17,Pendle,Arbitrum,14.34,10055.15,3.93,0.00
18,2024-07-18,Pendle,Arbitrum,15.12,10059.29,4.14,0.00
19,2024-07-19,Pendle,Arbitrum,14.53,10063.27,3.98,0.00
20,2024-07-20,Pendle,Arbitrum,13.55,10066.98,3.71,0.00
21,2024-07-21,Pendle,Arbitrum,14.40,10070.93,3.94,0.00
22,2024-07-22,Pendle,Arbitrum,13.87,10074.72,3.80,0.00
23,2024-07-23,Uniswap V3,Arbitrum,15.15,10076.63,4.15,2.24
24,2024-07-24,Pendle,Arbitrum,16.70,10079.80,4.57,1.41
25,2024-07-25,Pendle,Arbitrum,16.51,10084.32,4.52,0.00
26,2024-07-26,Pendle,Arbitrum,15.48,10088.56,4.24,0.00
27,2024-07-27,Pendle,Arbitrum,13.85,10092.35,3.79,0.00
28,2024-07-28,Pendle,Arbitrum,12.50,10095.77,3.42,0.00
29,2024-07-29,Pendle,Arbitrum,12.24,10099.13,3.35,0.00
30,2024-07-30,Pendle,Arbitrum,14.80,10103.18,4.05,0.00
31,2024-07-31,Pendle,Arbitrum,14.22,10107.07,3.89,0.00
32,2024-08-01,Pendle,Arbitrum,13.62,10109.95,3.73,0.85
33,2024-08-02,Pendle,Arbitrum,14.92,10113.10,4.09,0.94
34,2024-08-03,Pendle,Arbitrum,12.58,10116.54,3.44,0.00
35,2024-08-04,Pendle,Arbitrum,15.07,10120.67,4.13,0.00
36,2024-08-05,Pendle,Arbitrum,14.30,10124.59,3.92,0.00
37,2024-08-06,Pendle,Arbitrum,16.23,10129.03,4.44,0.00
38,2024-08-07,Pendle,Arbitrum,13.81,10132.82,3.78,0.00
39,2024-08-08,Pendle,Arbitrum,15.24,10136.99,4.17,0.00
40,2024-08-09,Pendle,Arbitrum,13.93,10140.81,3.82,0.00
41,2024-08-10,Pendle,Arbitrum,13.79,10144.58,3.78,0.00
42,2024-08-11,Pendle,Arbitrum,13.56,10147.66,3.71,0.64
43,2024-08-12,Pendle,Arbitrum,15.74,10151.97,4.31,0.00
44,2024-08-13,Pendle,Arbitrum,13.83,10155.75,3.79,0.00
45,2024-08-14,Pendle,Arbitrum,14.41,10159.70,3.95,0.00
46,2024-08-15,Pendle,Arbitrum,14.61,10163.70,4.00,0.00
47,2024-08-16,Pendle,Arbitrum,14.97,10167.80,4.10,0.00
48,2024-08-17,Pendle,Arbitrum,12.93,10171.35,3.54,0.00
49,2024-08-18,Pendle,Arbitrum,14.00,10175.18,3.83,0.00
50,2024-08-19,Pendle,Arbitrum,13.47,10178.87,3.69,0.00
51,2024-08-20,Pendle,Arbitrum,14.17,10182.75,3.88,0.00
52,2024-08-21,Pendle,Arbitrum,14.53,10186.73,3.98,0.00
53,2024-08-22,Pendle,Arbitrum,15.53,10190.98,4.25,0.00
54,2024-08-23,Pendle,Arbitrum,12.79,10194.48,3.50,0.00
55,2024-08-24,Pendle,Arbitrum,15.15,10198.09,4.15,0.54
56,2024-08-25,Pendle,Arbitrum,14.58,10202.08,3.99,0.00
57,2024-08-26,Pendle,Arbitrum,14.42,10204.89,3.95,1.14
58,2024-08-27,Pendle,Arbitrum,13.16,10208.50,3.60,0.00
59,2024-08-28,Pendle,Arbitrum,13.45,10212.18,3.68,0.00
60,2024-08-29,Pendle,Arbitrum,14.08,10216.04,3.86,0.00
61,2024-08-30,Pendle,Arbitrum,12.88,10219.56,3.53,0.00
62,2024-08-31,Pendle,Arbitrum,13.31,10223.21,3.64,0.00
63,2024-09-01,Pendle,Arbitrum,10.76,10226.16,2.95,0.00
64,2024-09-02,Pendle,Arbitrum,13.35,10229.81,3.66,0.00
65,2024-09-03,Pendle,Arbitrum,15.05,10233.93,4.12,0.00
66,2024-09-04,Pendle,Arbitrum,13.84,10237.73,3.79,0.00
67,2024-09-05,Pendle,Arbitrum,12.63,10241.19,3.46,0.00
68,2024-09-06,Pendle,Arbitrum,13.45,10244.87,3.68,0.00
69,2024-09-07,Pendle,Arbitrum,13.98,10248.70,3.83,0.00
70,2024-09-08,Pendle,Arbitrum,13.24,10251.70,3.63,0.62
71,2024-09-09,Pendle,Arbitrum,13.89,10254.53,3.81,0.98
72,2024-09-10,Pendle,Arbitrum,15.79,10258.85,4.32,0.00
73,2024-09-11,Pendle,Arbitrum,14.85,10262.92,4.07,0.00
74,2024-09-12,Pendle,Arbitrum,13.85,10266.71,3.79,0.00
75,2024-09-13,Pendle,Arbitrum,13.32,10270.36,3.65,0.00
76,2024-09-14,Pendle,Arbitrum,14.43,10274.31,3.95,0.00
77,2024-09-15,Pendle,Arbitrum,15.61,10278.59,4.27,0.00
78,2024-09-16,Pendle,Arbitrum,14.66,10282.60,4.01,0.00
79,2024-09-17,Pendle,Arbitrum,13.73,10286.36,3.76,0.00
80,2024-09-18,Pendle,Arbitrum,15.71,10290.66,4.30,0.00
81,2024-09-19,Pendle,Arbitrum,16.65,10295.22,4.56,0.00
82,2024-09-20,Pendle,Arbitrum,13.77,10298.99,3.77,0.00
83,2024-09-21,Pendle,Arbitrum,14.75,10303.03,4.04,0.00
84,2024-09-22,Pendle,Arbitrum,14.85,10307.10,4.07,0.00
85,2024-09-23,Pendle,Arbitrum,14.03,10310.94,3.84,0.00
86,2024-09-24,Pendle,Arbitrum,15.31,10315.13,4.19,0.00
87,2024-09-25,Pendle,Arbitrum,15.49,10318.44,4.24,0.94
88,2024-09-26,Pendle,Arbitrum,14.38,10321.56,3.94,0.82
89,2024-09-27,Pendle,Arbitrum,17.27,10326.28,4.73,0.00
90,2024-09-28,Pendle,Arbitrum,15.41,10330.50,4.22,0.00
