Day,Date,Protocol,Chain,APY,Portfolio Value,Daily Yield,Costs
1,2024-07-01,Pendle,Arbitrum,10.49,9997.55,2.87,5.32
2,2024-07-02,Pendle,Arbitrum,11.57,10000.72,3.17,0.00
3,2024-07-03,Pendle,Arbitrum,11.42,10003.85,3.13,0.00
4,2024-07-04,Pendle,Arbitrum,9.22,10006.38,2.52,0.00
5,2024-07-05,Pendle,Arbitrum,10.93,10009.37,2.99,0.00
6,2024-07-06,Pendle,Arbitrum,11.66,10012.56,3.19,0.00
7,2024-07-07,Pendle,Arbitrum,11.21,10015.63,3.07,0.00
8,2024-07-08,Pendle,Arbitrum,10.98,10018.64,3.01,0.00
9,2024-07-09,Pendle,Arbitrum,11.53,10021.80,3.16,0.00
10,2024-07-10,Pendle,Arbitrum,11.35,10024.90,3.11,0.00
11,2024-07-11,Pendle,Arbitrum,10.72,10027.84,2.94,0.00
12,2024-07-12,Pendle,Arbitrum,10.51,10030.72,2.88,0.00
13,2024-07-13,Pendle,Arbitrum,11.06,10033.24,3.03,0.51
14,2024-07-14,Pendle,Arbitrum,9.71,10035.90,2.66,0.00
15,2024-07-15,Uniswap V3,Arbitrum,10.95,10035.44,3.00,3.46
16,2024-07-16,Pendle,Arbitrum,11.93,10036.46,3.27,2.25
17,2024-07-17,Pendle,Arbitrum,11.41,10039.58,3.13,0.00
18,2024-07-18,Pendle,Arbitrum,11.76,10042.80,3.22,0.00
19,2024-07-19,Pendle,Arbitrum,10.90,10045.79,2.99,0.00
20,2024-07-20,Pendle,Arbitrum,11.25,10048.87,3.08,0.00
21,2024-07-21,Pendle,Arbitrum,10.62,10051.78,2.91,0.00
22,2024-07-22,Pendle,Arbitrum,12.05,10055.08,3.30,0.00
23,2024-07-23,Pendle,Arbitrum,11.03,10058.10,3.02,0.00
24,2024-07-24,Pendle,Arbitrum,12.22,10061.45,3.35,0.00
25,2024-07-25,Pendle,Arbitrum,11.46,10064.59,3.14,0.00
26,2024-07-26,Pendle,Arbitrum,12.00,10067.87,3.29,0.00
27,2024-07-27,Pendle,Arbitrum,10.54,10070.76,2.89,0.00
28,2024-07-28,Pendle,Arbitrum,10.76,10073.71,2.95,0.00
29,2024-07-29,Pendle,Arbitrum,10.82,10076.67,2.96,0.00
30,2024-07-30,Pendle,Arbitrum,12.07,10079.98,3.31,0.00
31,2024-07-31,Pendle,Arbitrum,11.49,10083.13,3.15,0.00
32,2024-08-01,Pendle,Arbitrum,12.05,10086.42,3.30,0.00
33,2024-08-02,Pendle,Arbitrum,11.19,10089.49,3.06,0.00
34,2024-08-03,Pendle,Arbitrum,11.25,10092.57,3.08,0.00
35,2024-08-04,Pendle,Arbitrum,9.97,10095.30,2.73,0.00
36,2024-08-05,Pendle,Arbitrum,11.83,10098.54,3.24,0.00
37,2024-08-06,Pendle,Arbitrum,11.22,10101.61,3.07,0.00
38,2024-08-07,Pendle,Arbitrum,11.12,10104.66,3.05,0.00
39,2024-08-08,Pendle,Arbitrum,11.03,10107.68,3.02,0.00
40,2024-08-09,Pendle,Arbitrum,11.48,10110.82,3.14,0.00
41,2024-08-10,Pendle,Arbitrum,11.31,10113.92,3.10,0.00
42,2024-08-11,Pendle,Arbitrum,10.29,10116.74,2.82,0.00
43,2024-08-12,Pendle,Arbitrum,10.13,10119.52,2.77,0.00
44,2024-08-13,Pendle,Arbitrum,10.96,10122.52,3.00,0.00
45,2024-08-14,Pendle,Arbitrum,11.32,10125.62,3.10,0.00
46,2024-08-15,Pendle,Arbitrum,11.28,10128.71,3.09,0.00
47,2024-08-16,Pendle,Arbitrum,10.78,10131.66,2.95,0.00
48,2024-08-17,Pendle,Arbitrum,10.64,10134.58,2.92,0.00
49,2024-08-18,Pendle,Arbitrum,12.09,10137.89,3.31,0.00
50,2024-08-19,Pendle,Arbitrum,10.45,10140.75,2.86,0.00
51,2024-08-20,Pendle,Arbitrum,10.64,10143.66,2.91,0.00
52,2024-08-21,Pendle,Arbitrum,10.63,10146.57,2.91,0.00
53,2024-08-22,Pendle,Arbitrum,11.25,10149.65,3.08,0.00
54,2024-08-23,Pendle,Arbitrum,10.48,10152.53,2.87,0.00
55,2024-08-24,Pendle,Arbitrum,9.71,10155.18,2.66,0.00
56,2024-08-25,Pendle,Arbitrum,10.46,10157.34,2.87,0.71
57,2024-08-26,Pendle,Arbitrum,10.05,10159.27,2.75,0.82
58,2024-08-27,Pendle,Arbitrum,9.91,10161.99,2.71,0.00
59,2024-08-28,Pendle,Arbitrum,10.70,10164.02,2.93,0.90
60,2024-08-29,Pendle,Arbitrum,9.97,10166.75,2.73,0.00
61,2024-08-30,Pendle,Arbitrum,10.26,10169.56,2.81,0.00
62,2024-08-31,Pendle,Arbitrum,11.56,10172.72,3.17,0.00
63,2024-09-01,Pendle,Arbitrum,10.91,10175.71,2.99,0.00
64,2024-09-02,Pendle,Arbitrum,10.00,10178.45,2.74,0.00
65,2024-09-03,Pendle,Arbitrum,10.03,10181.19,2.75,0.00
66,2024-09-04,Pendle,Arbitrum,10.97,10184.20,3.01,0.00
67,2024-09-05,Pendle,Arbitrum,11.05,10187.23,3.03,0.00
68,2024-09-06,Pendle,Arbitrum,10.15,10190.01,2.78,0.00
69,2024-09-07,Pendle,Arbitrum,9.69,10192.66,2.65,0.00
70,2024-09-08,Pendle,Arbitrum,10.57,10195.55,2.89,0.00
71,2024-09-09,Pendle,Arbitrum,10.39,10198.40,2.85,0.00
72,2024-09-10,Pendle,Arbitrum,11.53,10201.56,3.16,0.00
73,2024-09-11,Pendle,Arbitrum,9.00,10204.02,2.47,0.00
74,2024-09-12,Pendle,Arbitrum,11.22,10207.10,3.07,0.00
75,2024-09-13,Pendle,Arbitrum,10.82,10210.06,2.96,0.00
76,2024-09-14,Pendle,Arbitrum,9.96,10211.94,2.73,0.85
77,2024-09-15,Pendle,Arbitrum,10.69,10214.86,2.93,0.00
78,2024-09-16,Pendle,Arbitrum,9.69,10217.52,2.65,0.00
79,2024-09-17,Pendle,Arbitrum,11.05,10219.87,3.03,0.67
80,2024-09-18,Pendle,Arbitrum,11.24,10222.95,3.08,0.00
81,2024-09-19,Pendle,Arbitrum,10.96,10225.95,3.00,0.00
82,2024-09-20,Pendle,Arbitrum,10.44,10228.81,2.86,0.00
83,2024-09-21,Pendle,Arbitrum,10.54,10231.13,2.89,0.57
84,2024-09-22,Pendle,Arbitrum,11.10,10233.54,3.04,0.63
85,2024-09-23,Pendle,Arbitrum,11.71,10236.75,3.21,0.00
86,2024-09-24,Pendle,Arbitrum,11.09,10239.79,3.04,0.00
87,2024-09-25,Pendle,Arbitrum,10.81,10242.75,2.96,0.00
88,2024-09-26,Pendle,Arbitrum,11.04,10245.77,3.03,0.00
89,2024-09-27,Pendle,Arbitrum,11.68,10248.97,3.20,0.00
90,2024-09-28,Pendle,Arbitrum,11.04,10252.00,3.02,0.00
