Day,Date,Protocol,Chain,APY,Portfolio Value,Daily Yield,Costs
1,2024-07-01,Pendle,Arbitrum,10.86,9996.70,2.98,6.28
2,2024-07-02,Pendle,Arbitrum,10.83,9999.66,2.97,0.00
3,2024-07-03,Pendle,Arbitrum,10.14,10002.44,2.78,0.00
4,2024-07-04,Pendle,Arbitrum,10.87,10005.42,2.98,0.00
5,2024-07-05,Pendle,Arbitrum,10.93,10008.41,2.99,0.00
6,2024-07-06,Pendle,Arbitrum,10.81,10011.37,2.96,0.00
7,2024-07-07,Pendle,Arbitrum,11.99,10014.66,3.28,0.00
8,2024-07-08,Pendle,Arbitrum,11.24,10016.81,3.08,0.93
9,2024-07-09,Pendle,Arbitrum,10.71,10019.74,2.93,0.00
10,2024-07-10,Pendle,Arbitrum,11.24,10022.82,3.08,0.00
11,2024-07-11,Pendle,Arbitrum,10.48,10025.69,2.87,0.00
12,2024-07-12,Pendle,Arbitrum,10.93,10028.68,2.99,0.00
13,2024-07-13,Pendle,Arbitrum,11.05,10031.71,3.03,0.00
14,2024-07-14,Pendle,Arbitrum,11.26,10034.11,3.08,0.68
15,2024-07-15,Pendle,Arbitrum,11.25,10037.19,3.08,0.00
16,2024-07-16,Pendle,Arbitrum,11.18,10040.26,3.06,0.00
17,2024-07-17,Pendle,Arbitrum,11.02,10043.27,3.02,0.00
18,2024-07-18,Pendle,Arbitrum,10.74,10046.22,2.94,0.00
19,2024-07-19,Pendle,Arbitrum,11.40,10049.34,3.12,0.00
20,2024-07-20,Pendle,Arbitrum,10.73,10052.28,2.94,0.00
21,2024-07-21,Pendle,Arbitrum,12.45,10055.68,3.41,0.00
22,2024-07-22,Pendle,Arbitrum,12.19,10059.02,3.34,0.00
23,2024-07-23,Pendle,Arbitrum,11.94,10062.29,3.27,0.00
24,2024-07-24,Pendle,Arbitrum,11.83,10065.53,3.24,0.00
25,2024-07-25,Pendle,Arbitrum,11.89,10068.79,3.26,0.00
26,2024-07-26,Pendle,Arbitrum,11.25,10071.87,3.08,0.00
27,2024-07-27,Pendle,Arbitrum,10.81,10074.83,2.96,0.00
28,2024-07-28,Pendle,Arbitrum,11.07,10077.86,3.03,0.00
29,2024-07-29,Pendle,Arbitrum,10.75,10080.81,2.94,0.00
30,2024-07-30,Pendle,Arbitrum,11.54,10083.97,3.16,0.00
31,2024-07-31,Pendle,Arbitrum,10.58,10086.87,2.90,0.00
32,2024-08-01,Pendle,Arbitrum,10.99,10089.03,3.01,0.85
33,2024-08-02,Pendle,Arbitrum,12.06,10091.25,3.30,1.08
34,2024-08-03,Pendle,Arbitrum,10.02,10093.44,2.75,0.56
35,2024-08-04,Pendle,Arbitrum,11.50,10095.99,3.15,0.60
36,2024-08-05,Pendle,Arbitrum,10.84,10098.96,2.97,0.00
37,2024-08-06,Pendle,Arbitrum,10.67,10101.88,2.92,0.00
38,2024-08-07,Pendle,Arbitrum,10.35,10104.71,2.84,0.00
39,2024-08-08,Pendle,Arbitrum,11.19,10107.78,3.06,0.00
40,2024-08-09,Pendle,Arbitrum,10.03,10110.52,2.75,0.00
41,2024-08-10,Pendle,Arbitrum,10.89,10113.50,2.98,0.00
42,2024-08-11,Pendle,Arbitrum,10.93,10116.50,2.99,0.00
43,2024-08-12,Pendle,Arbitrum,11.25,10119.58,3.08,0.00
44,2024-08-13,Pendle,Arbitrum,11.19,10122.65,3.07,0.00
45,2024-08-14,Pendle,Arbitrum,10.93,10125.64,2.99,0.00
46,2024-08-15,Pendle,Arbitrum,11.39,10127.90,3.12,0.86
47,2024-08-16,Pendle,Arbitrum,10.79,10130.86,2.95,0.00
48,2024-08-17,Pendle,Arbitrum,10.90,10133.21,2.99,0.63
49,2024-08-18,Pendle,Arbitrum,10.51,10135.54,2.88,0.55
50,2024-08-19,Pendle,Arbitrum,12.20,10138.88,3.34,0.00
51,2024-08-20,Pendle,Arbitrum,10.66,10141.80,2.92,0.00
52,2024-08-21,Pendle,Arbitrum,10.70,10144.73,2.93,0.00
53,2024-08-22,Pendle,Arbitrum,10.02,10147.48,2.74,0.00
54,2024-08-23,Pendle,Arbitrum,9.86,10149.32,2.70,0.86
55,2024-08-24,Pendle,Arbitrum,9.02,10151.79,2.47,0.00
56,2024-08-25,Pendle,Arbitrum,9.98,10154.52,2.73,0.00
57,2024-08-26,Pendle,Arbitrum,10.29,10157.34,2.82,0.00
58,2024-08-27,Pendle,Arbitrum,11.63,10160.53,3.19,0.00
59,2024-08-28,Pendle,Arbitrum,10.31,10163.35,2.82,0.00
60,2024-08-29,Pendle,Arbitrum,10.09,10165.48,2.76,0.63
61,2024-08-30,Pendle,Arbitrum,11.05,10168.51,3.03,0.00
