Day,Date,Protocol,Chain,APY,Portfolio Value,Daily Yield,Costs
1,2024-01-01,Balancer,Arbitrum,9.75,9996.12,2.67,6.55
2,2024-01-02,Pendle,Arbitrum,10.62,9996.32,2.91,2.71
3,2024-01-03,Pendle,Arbitrum,11.03,9999.34,3.02,0.00
4,2024-01-04,Pendle,Arbitrum,13.43,9999.58,3.68,3.44
5,2024-01-05,Pendle,Arbitrum,14.15,10003.46,3.88,0.00
6,2024-01-06,Pendle,Arbitrum,15.17,10007.61,4.16,0.00
7,2024-01-07,Pendle,Arbitrum,14.77,10010.65,4.04,1.01
8,2024-01-08,Pendle,Arbitrum,16.64,10015.20,4.56,0.00
9,2024-01-09,Pendle,Arbitrum,15.42,10018.19,4.22,1.24
10,2024-01-10,Pendle,Arbitrum,16.69,10022.76,4.57,0.00
11,2024-01-11,Pendle,Arbitrum,15.04,10026.88,4.12,0.00
12,2024-01-12,Pendle,Arbitrum,15.89,10031.23,4.35,0.00
13,2024-01-13,Pendle,Arbitrum,16.27,10035.68,4.46,0.00
14,2024-01-14,Pendle,Arbitrum,14.99,10039.00,4.11,0.79
15,2024-01-15,Pendle,Arbitrum,14.88,10043.07,4.07,0.00
16,2024-01-16,Pendle,Arbitrum,15.45,10047.30,4.23,0.00
17,2024-01-17,Pendle,Arbitrum,15.08,10051.43,4.13,0.00
18,2024-01-18,Pendle,Arbitrum,13.62,10054.50,3.73,0.66
19,2024-01-19,Pendle,Arbitrum,13.55,10058.22,3.71,0.00
20,2024-01-20,Pendle,Arbitrum,13.73,10061.98,3.76,0.00
21,2024-01-21,Pendle,Arbitrum,11.45,10065.11,3.13,0.00
22,2024-01-22,Pendle,Arbitrum,11.11,10067.33,3.04,0.83
23,2024-01-23,Pendle,Arbitrum,10.63,10070.24,2.91,0.00
24,2024-01-24,Pendle,Arbitrum,9.92,10072.95,2.72,0.00
25,2024-01-25,Curve,Arbitrum,8.49,10071.29,2.33,3.99
26,2024-01-26,Balancer,Arbitrum,8.46,10071.82,2.32,1.79
27,2024-01-27,Balancer,Arbitrum,8.05,10074.02,2.21,0.00
