date,protocol,chain,apy,stablecoin,tvl,gasCost,bridgeFee
2024-07-01,Aave,Ethereum,4.25,USDC,250000000,45.30,0
2024-07-01,Compound,Ethereum,3.95,USDC,180000000,42.50,0
2024-07-01,Curve,Ethereum,5.75,USDC,320000000,55.20,0
2024-07-01,Uniswap V3,Arbitrum,6.80,USDC,95000000,3.20,12.50
2024-07-01,Aave,Arbitrum,5.45,USDC,145000000,2.80,11.80
2024-07-01,Curve,Polygon,7.20,USDC,85000000,1.50,8.30
2024-07-01,Yearn,Ethereum,4.85,USDC,120000000,48.70,0
2024-07-01,Pendle,Ethereum,8.50,USDC,75000000,52.10,0
2024-07-01,Aave,Optimism,5.95,USDC,110000000,2.10,9.50
2024-07-01,Compound,Polygon,6.30,USDC,65000000,1.20,7.80
2024-07-02,Aave,Ethereum,4.18,USDC,255000000,47.20,0
2024-07-02,Compound,Ethereum,3.88,USDC,175000000,44.10,0
2024-07-02,Curve,Ethereum,5.65,USDC,325000000,56.80,0
2024-07-02,Uniswap V3,Arbitrum,6.95,USDC,98000000,3.40,13.20
2024-07-02,Aave,Arbitrum,5.52,USDC,148000000,2.90,12.10
2024-07-02,Curve,Polygon,7.35,USDC,87000000,1.60,8.50
2024-07-02,Yearn,Ethereum,4.92,USDC,125000000,49.30,0
2024-07-02,Pendle,Ethereum,8.75,USDC,78000000,53.50,0
2024-07-02,Aave,Optimism,6.05,USDC,112000000,2.20,9.80
2024-07-02,Compound,Polygon,6.42,USDC,67000000,1.30,8.00
2024-07-03,Aave,Ethereum,4.32,USDC,260000000,46.80,0
2024-07-03,Compound,Ethereum,4.05,USDC,182000000,43.20,0
2024-07-03,Curve,Ethereum,5.90,USDC,330000000,54.50,0
2024-07-03,Uniswap V3,Arbitrum,7.15,USDC,102000000,3.10,12.80
2024-07-03,Aave,Arbitrum,5.38,USDC,151000000,2.70,11.90
2024-07-03,Curve,Polygon,7.18,USDC,89000000,1.45,8.20
2024-07-03,Yearn,Ethereum,5.05,USDC,128000000,50.10,0
2024-07-03,Pendle,Ethereum,9.20,USDC,82000000,51.80,0
2024-07-03,Aave,Optimism,6.18,USDC,115000000,2.05,9.40
2024-07-03,Compound,Polygon,6.25,USDC,70000000,1.25,7.90
