date,protocol,chain,apy,stablecoin,tvl,gasCost,bridgeFee
2024-01-01,Aave,Ethereum,4.15,USDC,239969518,17.25,0
2024-01-01,Aave,Ethereum,4.01,USDT,252145670,22.42,0
2024-01-01,Aave,Arbitrum,4.34,USDC,256409472,2.65,8.02
2024-01-01,Aave,Arbitrum,3.75,USDT,252726084,2.11,5.81
2024-01-01,Aave,Arbitrum,4.78,DAI,238461824,2.11,5.15
2024-01-01,Aave,Optimism,3.45,USDC,259065491,1.75,5.16
2024-01-01,Aave,Optimism,5.45,USDT,230847017,1.48,4.21
2024-01-01,Aave,Optimism,5.25,DAI,252753315,1.66,4.97
2024-01-01,Aave,Polygon,4.15,USDC,236194318,0.5,4.44
2024-01-01,Aave,Polygon,5.4,USDT,237254619,0.76,3.38
2024-01-01,Aave,Polygon,6.01,DAI,250772670,0.65,4.65
2024-01-01,Aave,Base,5.37,USDC,251318674,1.14,3.95
2024-01-01,Aave,Base,4.43,DAI,250249181,1.27,5.45
2024-01-01,Compound,Ethereum,3.37,USDC,185323367,17.24,0
2024-01-01,Compound,Ethereum,3.78,USDT,175517924,16.87,0
2024-01-01,Compound,Arbitrum,4.39,USDC,173888477,1.37,7.73
2024-01-01,Compound,Arbitrum,4.68,USDT,178640528,2.13,7.19
2024-01-01,Compound,Arbitrum,4.32,DAI,186469369,1.93,4.89
2024-01-01,Compound,Optimism,3.42,USDC,178997023,1.52,5.84
2024-01-01,Compound,Optimism,5.16,USDT,166455095,1.15,6.21
2024-01-01,Compound,Optimism,4.95,DAI,162015857,1.84,5.43
2024-01-01,Compound,Polygon,3.39,USDC,153537867,0.72,3.99
2024-01-01,Compound,Polygon,4.2,USDT,185698729,0.85,3.92
2024-01-01,Compound,Polygon,3.87,DAI,174587012,0.97,5.01
2024-01-01,Compound,Base,4.15,USDT,161301800,1.02,5.43
2024-01-01,Compound,Base,3.49,DAI,179798368,1.3,5.06
2024-01-01,Curve,Ethereum,4.92,USDC,326416175,16.8,0
2024-01-01,Curve,Ethereum,6.58,USDT,298733835,15.74,0
2024-01-01,Curve,Ethereum,6.86,DAI,339372907,16.5,0
2024-01-01,Curve,Arbitrum,6.54,USDC,302197043,2.28,5.81
2024-01-01,Curve,Arbitrum,6.09,USDT,300365510,1.96,7.12
2024-01-01,Curve,Arbitrum,8.05,DAI,345848398,1.73,7.08
2024-01-01,Curve,Optimism,6.23,USDC,299627474,1.74,3.17
2024-01-01,Curve,Optimism,8.05,USDT,318521788,1.67,4.86
2024-01-01,Curve,Optimism,5.7,DAI,323272789,1.37,5.16
2024-01-01,Curve,Polygon,8.86,USDC,322977998,0.66,5.04
2024-01-01,Curve,Polygon,4.84,USDT,297078748,0.5,4.01
2024-01-01,Curve,Polygon,7.44,DAI,324020546,1.11,4.47
2024-01-01,Curve,Base,10.64,USDC,329721427,1.34,5.11
2024-01-01,Curve,Base,6.15,USDT,340457740,1.15,3.75
2024-01-01,Curve,Base,7.55,DAI,330651345,1.11,5.94
2024-01-01,Uniswap V3,Ethereum,6.54,USDC,104839537,15.81,0
2024-01-01,Uniswap V3,Ethereum,4.15,USDT,100014998,16.59,0
2024-01-01,Uniswap V3,Ethereum,3.34,DAI,101216434,16.32,0
2024-01-01,Uniswap V3,Arbitrum,5.24,USDC,94148423,1.69,5.9
2024-01-01,Uniswap V3,Arbitrum,6.73,USDT,99093138,2.6,8.1
2024-01-01,Uniswap V3,Arbitrum,3.4,DAI,91723643,2.22,5.59
2024-01-01,Uniswap V3,Optimism,5.56,USDC,95389888,1.49,4.99
2024-01-01,Uniswap V3,Optimism,5.95,USDT,96864816,1.63,4.64
2024-01-01,Uniswap V3,Polygon,6.73,USDC,97033475,0.67,3.06
2024-01-01,Uniswap V3,Polygon,8.97,USDT,100163612,0.68,4.16
2024-01-01,Uniswap V3,Polygon,6.22,DAI,104096495,0.72,3.77
2024-01-01,Uniswap V3,Base,8.92,USDC,94064408,0.66,5.78
2024-01-01,Uniswap V3,Base,6.64,USDT,92377106,1.15,6.18
2024-01-01,Uniswap V3,Base,6.61,DAI,97948418,1.62,5.45
2024-01-01,Yearn,Ethereum,4.59,USDC,117128233,15.99,0
2024-01-01,Yearn,Ethereum,4.59,USDT,110393605,18.42,0
2024-01-01,Yearn,Ethereum,4.7,DAI,115775029,12.99,0
2024-01-01,Yearn,Arbitrum,4.97,USDC,124942630,1.32,7.2
2024-01-01,Yearn,Arbitrum,5.93,USDT,125332761,1.94,6.1
