date,protocol,chain,apy,stablecoin,tvl,gasCost,bridgeFee
2024-07-01,Aave,Ethereum,2.78,USDC,251125396,14.16,0
2024-07-01,Aave,Ethereum,2.63,USDT,249700141,20.73,0
2024-07-01,Aave,Ethereum,2.88,DAI,262034039,20.16,0
2024-07-01,Aave,Arbitrum,3.36,USDC,247866330,2.71,5.58
2024-07-01,Aave,Arbitrum,3.53,USDT,244123028,1.97,4.49
2024-07-01,Aave,Arbitrum,3.04,DAI,246626712,2.26,5.64
2024-07-01,Aave,Optimism,2.86,USDC,256277400,1.8,5.01
2024-07-01,Aave,Optimism,3.54,USDT,248992246,2.01,3.96
2024-07-01,Aave,Optimism,3.35,DAI,257707814,2.19,6.66
2024-07-01,Aave,Polygon,3.8,USDC,252246977,0.67,2.35
2024-07-01,Aave,Polygon,3.87,USDT,258379283,1.13,4.25
2024-07-01,Aave,Polygon,3.8,DAI,266188798,0.84,4.01
2024-07-01,Aave,Base,3.41,USDC,265800888,1.55,4.3
2024-07-01,Aave,Base,3.73,USDT,243692320,1.71,4.59
2024-07-01,Aave,Base,3.71,DAI,262395962,1.52,3.7
2024-07-01,Compound,Ethereum,2.56,USDC,181283514,18.66,0
2024-07-01,Compound,Ethereum,2.69,USDT,179369170,22.1,0
2024-07-01,Compound,Ethereum,2.84,DAI,169021504,16.96,0
2024-07-01,Compound,Arbitrum,3.22,USDC,177204187,2.5,5.56
2024-07-01,Compound,Arbitrum,3.41,DAI,191858163,2.57,5.63
2024-07-01,Compound,Optimism,3.35,USDC,177062483,1.72,3.73
2024-07-01,Compound,Optimism,3.05,USDT,193448346,1.9,4.12
2024-07-01,Compound,Optimism,3.02,DAI,175419932,1.85,5.02
2024-07-01,Compound,Polygon,3.32,USDC,193687729,0.93,2.97
2024-07-01,Compound,Polygon,3.58,USDT,181659958,0.94,3.8
2024-07-01,Compound,Polygon,3.88,DAI,168210160,0.86,3.3
2024-07-01,Compound,Base,3.43,USDC,189471481,1.88,3.29
2024-07-01,Compound,Base,3.7,USDT,171871339,1.37,4.16
2024-07-01,Compound,Base,3.35,DAI,182554165,1.54,3.54
2024-07-01,Curve,Ethereum,7.2,USDC,325297771,14.56,0
2024-07-01,Curve,Ethereum,6.75,USDT,323039220,18.25,0
2024-07-01,Curve,Ethereum,7.7,DAI,319892277,18.76,0
2024-07-01,Curve,Arbitrum,10.52,USDC,314335566,1.82,4.35
2024-07-01,Curve,Arbitrum,11.07,USDT,350686812,2.84,5.34
2024-07-01,Curve,Arbitrum,9.79,DAI,304706345,2.15,5.17
2024-07-01,Curve,Optimism,8.3,USDC,338255589,1.31,3.19
2024-07-01,Curve,Optimism,8.68,USDT,328086454,2.41,4.04
2024-07-01,Curve,Optimism,9.53,DAI,311366837,2.08,3.14
2024-07-01,Curve,Polygon,8.36,USDT,364134022,0.67,2.73
2024-07-01,Curve,Polygon,10.22,DAI,298124530,1.11,4.11
2024-07-01,Curve,Base,7.17,USDC,319541646,0.97,3.77
2024-07-01,Curve,Base,9.87,USDT,335854644,1.11,3.57
2024-07-01,Curve,Base,9.04,DAI,351959004,1.37,2.98
2024-07-01,Uniswap V3,Ethereum,6.01,USDC,94963605,15.31,0
2024-07-01,Uniswap V3,Ethereum,8.03,USDT,94997239,19.62,0
2024-07-01,Uniswap V3,Ethereum,6.32,DAI,100158780,23.84,0
2024-07-01,Uniswap V3,Arbitrum,11.98,USDT,95233068,2.85,4.47
2024-07-01,Uniswap V3,Arbitrum,12.25,DAI,94579504,1.93,5.15
2024-07-01,Uniswap V3,Optimism,8.61,USDC,101164295,2.1,4.27
2024-07-01,Uniswap V3,Optimism,11.27,USDT,90294657,1.53,3.65
2024-07-01,Uniswap V3,Polygon,11.22,USDC,98455433,1.14,3.81
2024-07-01,Uniswap V3,Polygon,8.43,USDT,102075763,1.11,4.06
2024-07-01,Uniswap V3,Polygon,12.22,DAI,91575810,0.97,2.73
2024-07-01,Uniswap V3,Base,11.03,USDC,89639035,1.28,4.02
2024-07-01,Uniswap V3,Base,12.37,USDT,94319865,1.5,3.89
2024-07-01,Uniswap V3,Base,8.41,DAI,94632959,1.41,4.75
2024-07-01,Yearn,Ethereum,3.75,USDC,123982702,17.97,0
2024-07-01,Yearn,Ethereum,3.73,USDT,104188151,17.78,0
2024-07-01,Yearn,Ethereum,3.28,DAI,105956241,14.84,0
2024-07-01,Yearn,Arbitrum,4.47,USDC,120426621,2.36,3.68
2024-07-01,Yearn,Arbitrum,3.98,USDT,113710854,2.53,5.98
2024-07-01,Yearn,Optimism,4.03,USDC,111217196,1.63,3.84
2024-07-01,Yearn,Optimism,4.58,USDT,113352517,1.39,3.9
2024-07-01,Yearn,Optimism,3.4,DAI,129402371,1.82,2.68
2024-07-01,Yearn,Polygon,4.43,USDC,116763073,1.1,2.42
2024-07-01,Yearn,Polygon,4.58,USDT,122550255,0.94,3.21
2024-07-01,Yearn,Polygon,4.34,DAI,117681119,0.76,4.18
2024-07-01,Yearn,Base,4.31,USDC,113860138,1.57,4.55
2024-07-01,Yearn,Base,4.66,USDT,119279663,1.34,3.55
2024-07-01,Yearn,Base,4.72,DAI,117248829,1.42,4.69
2024-07-01,Pendle,Ethereum,9.21,USDC,78387706,19.85,0
2024-07-01,Pendle,Ethereum,13.43,USDT,76770887,18.91,0
2024-07-01,Pendle,Ethereum,12.33,DAI,72949389,18.12,0
2024-07-01,Pendle,Arbitrum,12.16,USDC,75179872,2.46,5.51
2024-07-01,Pendle,Arbitrum,12.82,USDT,77165304,2.18,6.23
2024-07-01,Pendle,Arbitrum,11.82,DAI,76075932,1.78,5.35
2024-07-01,Pendle,Optimism,11.85,DAI,70692433,2.11,3.68
2024-07-01,Pendle,Base,9.01,USDC,74952639,1.57,2.48
2024-07-01,Pendle,Base,11.17,USDT,72199556,1.37,4.49
2024-07-01,Pendle,Base,14.67,DAI,81536616,1.37,2.53
2024-07-01,Convex,Ethereum,4.54,USDT,138813148,15.28,0
2024-07-01,Convex,Ethereum,5.68,DAI,149414644,16.4,0
2024-07-01,Balancer,Ethereum,7.63,USDC,114582956,12.63,0
2024-07-01,Balancer,Ethereum,7.57,USDT,109346646,17.27,0
2024-07-01,Balancer,Ethereum,9.68,DAI,100236225,16.18,0
2024-07-01,Balancer,Arbitrum,10.21,USDC,98625063,2.49,5.92
2024-07-01,Balancer,Arbitrum,10.2,USDT,109761259,3.19,4.79
2024-07-01,Balancer,Arbitrum,9.95,DAI,112740295,2.47,3.96
2024-07-01,Balancer,Optimism,10.67,USDC,111735114,2.03,3.75
2024-07-01,Balancer,Optimism,8.61,USDT,109007284,1.64,3.69
2024-07-01,Balancer,Optimism,10.2,DAI,105175333,1.28,4.42
2024-07-01,Balancer,Polygon,8.6,USDC,105498635,1.04,2.61
2024-07-01,Balancer,Polygon,9.38,USDT,107599187,0.91,2.71
2024-07-01,Balancer,Polygon,9.06,DAI,125671850,0.87,2.38
2024-07-01,Balancer,Base,9.7,USDC,107307517,1.46,3.77
2024-07-01,Balancer,Base,10.52,USDT,109393243,1.64,3.42
2024-07-01,Balancer,Base,9.54,DAI,102444111,1.28,5.78
2024-07-02,Aave,Ethereum,2.54,USDC,250048440,12.57,0
2024-07-02,Aave,Ethereum,3.11,USDT,263142332,16.6,0
2024-07-02,Aave,Arbitrum,3.42,DAI,250516560,2.44,3.95
2024-07-02,Aave,Optimism,3.66,USDC,253599072,1.82,4.02
2024-07-02,Aave,Optimism,3.23,USDT,252706902,1.78,3.66
2024-07-02,Aave,Optimism,3.41,DAI,252372812,2.52,4.14
2024-07-02,Aave,Polygon,3.57,USDC,272167564,0.82,2.76
2024-07-02,Aave,Polygon,3.82,USDT,248818512,1.08,2.88
2024-07-02,Aave,Polygon,3.9,DAI,267270926,0.89,1.98
2024-07-02,Aave,Base,3.13,USDC,261563043,1.49,4.38
2024-07-02,Aave,Base,4.01,USDT,240667866,1.42,3.19
2024-07-02,Aave,Base,3.18,DAI,254409532,1.41,3.29
2024-07-02,Compound,Ethereum,2.84,USDC,198426672,18.64,0
2024-07-02,Compound,Ethereum,2.93,USDT,188035673,18.25,0
2024-07-02,Compound,Ethereum,2.51,DAI,177562612,13.23,0
2024-07-02,Compound,Arbitrum,3.4,USDC,182176279,2.72,5.42
2024-07-02,Compound,Arbitrum,3.3,USDT,205516606,1.86,3.83
2024-07-02,Compound,Arbitrum,3.3,DAI,200030932,2.03,3.99
2024-07-02,Compound,Optimism,3.14,USDC,189247735,1.89,2.68
2024-07-02,Compound,Optimism,3.55,USDT,185606448,1.8,3.93
2024-07-02,Compound,Polygon,3.5,USDC,188819517,1.07,4.04
2024-07-02,Compound,Polygon,3.65,USDT,196586483,1.14,2.95
2024-07-02,Compound,Base,3.02,USDC,180423230,1.43,4.15
2024-07-02,Compound,Base,3.66,USDT,195577520,1.55,1.98
2024-07-02,Compound,Base,3.49,DAI,170497695,1.31,3.98
2024-07-02,Curve,Ethereum,6.54,USDC,331355003,12.97,0
2024-07-02,Curve,Ethereum,7.83,USDT,327335739,15.85,0
2024-07-02,Curve,Ethereum,9.97,DAI,332345922,25.42,0
2024-07-02,Curve,Arbitrum,9.42,USDC,334781744,2.45,5.75
2024-07-02,Curve,Arbitrum,6.09,USDT,354702337,2.91,4.05
2024-07-02,Curve,Arbitrum,10.1,DAI,341191950,3.04,3.32
2024-07-02,Curve,Optimism,8.5,USDC,312059781,1.5,4.72
2024-07-02,Curve,Optimism,9.79,USDT,326872729,1.27,5.28
2024-07-02,Curve,Polygon,10.41,USDC,338916472,0.95,2.7
2024-07-02,Curve,Polygon,10.32,USDT,304328251,0.67,3.81
2024-07-02,Curve,Polygon,11.02,DAI,324542933,0.96,2.85
2024-07-02,Curve,Base,8.68,USDC,314397803,1.18,3.45
2024-07-02,Curve,Base,11.13,USDT,347668411,1.26,4.5
2024-07-02,Curve,Base,9.53,DAI,343932464,1.46,3.88
2024-07-02,Uniswap V3,Ethereum,8.55,USDC,104759977,11.82,0
2024-07-02,Uniswap V3,Ethereum,9.37,USDT,85009043,18.53,0
2024-07-02,Uniswap V3,Ethereum,9.28,DAI,95264793,19.33,0
2024-07-02,Uniswap V3,Arbitrum,9.5,USDC,98367856,2.11,4.96
2024-07-02,Uniswap V3,Arbitrum,10.09,USDT,95537465,2.1,4.44
2024-07-02,Uniswap V3,Arbitrum,9.95,DAI,101227811,2.64,5.86
2024-07-02,Uniswap V3,Optimism,7.93,USDC,88909210,1.39,4.16
2024-07-02,Uniswap V3,Optimism,9.74,USDT,100606856,1.64,4.5
2024-07-02,Uniswap V3,Optimism,9.67,DAI,94033671,1.83,5.03
2024-07-02,Uniswap V3,Polygon,8.89,USDC,97092072,1.11,2.85
2024-07-02,Uniswap V3,Polygon,10.68,USDT,92106403,0.69,2.36
2024-07-02,Uniswap V3,Polygon,11.69,DAI,90748814,0.94,3.39
2024-07-02,Uniswap V3,Base,10.9,USDC,91661572,1.42,4.31
2024-07-02,Uniswap V3,Base,12.59,USDT,102217545,1.19,4.39
2024-07-02,Uniswap V3,Base,14.56,DAI,101292625,1.01,3.92
2024-07-02,Yearn,Ethereum,3.92,USDC,122979938,21.23,0
2024-07-02,Yearn,Ethereum,3.49,DAI,121338397,13.87,0
2024-07-02,Yearn,Arbitrum,5.4,USDC,125704701,1.98,6.65
2024-07-02,Yearn,Arbitrum,4.91,DAI,125248960,2.25,4.32
2024-07-02,Yearn,Optimism,4.63,USDC,115588722,1.42,2.97
2024-07-02,Yearn,Optimism,4.14,USDT,120277902,1.91,4.05
2024-07-02,Yearn,Optimism,4.96,DAI,131010756,2.55,4.88
2024-07-02,Yearn,Polygon,4.55,USDC,127334427,0.95,2.9
2024-07-02,Yearn,Polygon,4.87,USDT,130452763,1.13,1.84
2024-07-02,Yearn,Polygon,4.83,DAI,108211928,1.01,2.77
2024-07-02,Yearn,Base,3.97,USDC,130590248,1.43,3.86
2024-07-02,Yearn,Base,4.88,USDT,134724470,1.52,3.58
2024-07-02,Yearn,Base,4.7,DAI,119244916,1.51,3.58
2024-07-02,Pendle,Ethereum,11.02,USDC,81241180,20.82,0
2024-07-02,Pendle,Ethereum,10.34,USDT,76384753,13.04,0
2024-07-02,Pendle,Ethereum,13.48,DAI,75499701,14.08,0
2024-07-02,Pendle,Arbitrum,14.49,USDC,76567353,2.25,5.36
2024-07-02,Pendle,Arbitrum,14.87,USDT,75360172,2.45,3.84
2024-07-02,Pendle,Arbitrum,14.61,DAI,81113646,2.69,4.64
2024-07-02,Pendle,Optimism,15.92,USDC,86096633,1.68,3.22
2024-07-02,Pendle,Optimism,10.8,USDT,74979691,1.99,3.35
2024-07-02,Pendle,Optimism,13.59,DAI,75263627,1.63,5.29
2024-07-02,Pendle,Base,11.98,USDC,77434461,1.34,4.05
2024-07-02,Pendle,Base,12.6,USDT,80833182,1.39,5.2
2024-07-02,Pendle,Base,15.55,DAI,72951435,1.35,2.71
2024-07-02,Convex,Ethereum,5.67,USDC,155776998,13.38,0
2024-07-02,Convex,Ethereum,6.42,USDT,161967802,13.43,0
2024-07-02,Convex,Ethereum,4.94,DAI,162373174,18.94,0
2024-07-02,Balancer,Ethereum,9.45,USDC,119277083,19.15,0
2024-07-02,Balancer,Ethereum,9.25,USDT,110075347,14.72,0
2024-07-02,Balancer,Ethereum,8.06,DAI,109668677,16.01,0
2024-07-02,Balancer,Arbitrum,8.54,USDC,106719565,2.53,4.26
2024-07-02,Balancer,Arbitrum,7.79,USDT,114051275,2.21,5.67
2024-07-02,Balancer,Arbitrum,9.49,DAI,109485588,1.99,3.38
2024-07-02,Balancer,Optimism,9.89,USDC,114162420,1.76,4.35
2024-07-02,Balancer,Optimism,9.53,USDT,113373634,1.54,3.02
2024-07-02,Balancer,Optimism,10.87,DAI,112310638,1.57,5.37
2024-07-02,Balancer,Polygon,9.54,USDC,116438478,1.11,2.26
2024-07-02,Balancer,Polygon,12.89,USDT,110931491,0.83,2.75
2024-07-02,Balancer,Polygon,9.63,DAI,119084824,0.87,2.42
2024-07-02,Balancer,Base,8.76,USDC,112237156,1.24,4.31
2024-07-02,Balancer,Base,8.2,USDT,104982087,1.45,5.33
2024-07-02,Balancer,Base,10.21,DAI,119289420,1.53,4.18
2024-07-03,Aave,Ethereum,3.3,USDC,242662944,17.18,0
2024-07-03,Aave,Ethereum,3.1,USDT,268538800,17.81,0
2024-07-03,Aave,Ethereum,3.23,DAI,241946523,16.84,0
2024-07-03,Aave,Arbitrum,3.95,USDC,251061413,2.18,4.51
2024-07-03,Aave,Arbitrum,3.56,USDT,245899289,2.64,2.89
2024-07-03,Aave,Arbitrum,3.78,DAI,266932339,2.69,5.36
2024-07-03,Aave,Optimism,3.85,USDC,276771817,1.52,2.63
2024-07-03,Aave,Optimism,3.64,USDT,268609415,1.82,2.91
2024-07-03,Aave,Optimism,3.46,DAI,283393942,2.15,4.95
2024-07-03,Aave,Polygon,4.25,USDC,277211201,0.96,2.32
2024-07-03,Aave,Polygon,4.09,DAI,249799063,0.76,2.57
2024-07-03,Aave,Base,3.82,USDC,276295127,1.41,3.94
2024-07-03,Aave,Base,3.92,USDT,267600364,1.53,3.82
2024-07-03,Aave,Base,3.88,DAI,256612462,1.55,4.11
2024-07-03,Compound,Ethereum,2.69,USDT,184987192,17.01,0
2024-07-03,Compound,Arbitrum,3.42,USDC,185366072,2.7,4.55
2024-07-03,Compound,Arbitrum,3.25,DAI,187101328,1.42,4.51
2024-07-03,Compound,Optimism,3.59,USDC,188355081,2.05,4.86
2024-07-03,Compound,Optimism,3.24,USDT,192364276,1.69,3.75
