date,protocol,chain,apy,stablecoin,tvl,gasCost,bridgeFee
2024-07-01,Aave,Ethereum,3.13,USDC,247098828,21.34,0
2024-07-01,Aave,Ethereum,3.0,USDT,262755140,19.24,0
2024-07-01,Aave,Ethereum,2.71,DAI,267646360,21.19,0
2024-07-01,Aave,Arbitrum,3.54,USDC,237227864,1.91,3.95
2024-07-01,Aave,Arbitrum,3.67,USDT,242022882,1.94,5.39
2024-07-01,Aave,Arbitrum,4.18,DAI,257252604,2.29,5.74
2024-07-01,Aave,Optimism,3.13,USDT,257538159,2.41,4.43
2024-07-01,Aave,Optimism,3.72,DAI,254838458,1.55,3.63
2024-07-01,Aave,Polygon,3.64,USDC,253911723,0.95,3.43
2024-07-01,Aave,Polygon,3.7,USDT,237059374,0.95,1.86
2024-07-01,Aave,Polygon,3.76,DAI,260408434,1.02,3.39
2024-07-01,Aave,Base,3.56,USDC,247816417,1.56,3.84
2024-07-01,Aave,Base,3.52,DAI,257814284,1.38,4.37
2024-07-01,Compound,Ethereum,2.91,USDC,171992222,20.98,0
2024-07-01,Compound,Ethereum,2.93,USDT,177188029,25.34,0
2024-07-01,Compound,Ethereum,2.77,DAI,184292862,18.73,0
2024-07-01,Compound,Arbitrum,3.4,USDC,184447858,2.47,3.95
2024-07-01,Compound,Arbitrum,3.62,USDT,183445177,2.66,4.96
2024-07-01,Compound,Arbitrum,3.36,DAI,180307833,2.76,4.07
2024-07-01,Compound,Optimism,3.58,USDC,177484538,1.3,4.46
2024-07-01,Compound,Optimism,3.04,USDT,192226296,1.76,4.82
2024-07-01,Compound,Optimism,3.32,DAI,179938119,1.39,2.83
2024-07-01,Compound,Polygon,3.7,USDC,167104185,0.82,2.32
2024-07-01,Compound,Polygon,3.48,USDT,179525542,0.63,2.19
2024-07-01,Compound,Polygon,3.49,DAI,180872335,1.03,2.35
2024-07-01,Compound,Base,3.24,USDC,178844282,1.16,3.43
2024-07-01,Compound,Base,3.68,USDT,181270333,1.55,1.72
2024-07-01,Compound,Base,2.87,DAI,171346817,1.12,3.06
2024-07-01,Curve,Ethereum,9.23,USDC,303670451,17.5,0
2024-07-01,Curve,Ethereum,8.39,USDT,305724408,24.47,0
2024-07-01,Curve,Ethereum,7.96,DAI,315481794,21.14,0
2024-07-01,Curve,Arbitrum,8.72,USDT,326331379,2.28,4.41
2024-07-01,Curve,Arbitrum,11.04,DAI,314193949,2.51,5.78
2024-07-01,Curve,Optimism,8.25,USDC,340240438,1.97,3.59
2024-07-01,Curve,Optimism,8.44,USDT,307051963,2.2,3.69
2024-07-01,Curve,Optimism,11.11,DAI,299537564,1.7,4.98
2024-07-01,Curve,Polygon,12.3,USDC,333020771,1.25,3.72
2024-07-01,Curve,Polygon,9.11,USDT,320897793,0.91,3.76
2024-07-01,Curve,Polygon,11.18,DAI,332529478,0.86,2.28
2024-07-01,Curve,Base,10.91,USDC,322048503,1.87,4.95
2024-07-01,Curve,Base,9.02,USDT,297279311,1.52,3.91
2024-07-01,Curve,Base,11.77,DAI,302101000,1.16,3.76
2024-07-01,Uniswap V3,Ethereum,7.0,USDC,88201561,20.66,0
2024-07-01,Uniswap V3,Ethereum,10.49,USDT,84587842,12.39,0
2024-07-01,Uniswap V3,Ethereum,8.82,DAI,100534468,15.28,0
2024-07-01,Uniswap V3,Arbitrum,11.64,USDC,88247645,1.79,3.04
2024-07-01,Uniswap V3,Arbitrum,8.94,USDT,87974615,2.19,5.87
2024-07-01,Uniswap V3,Arbitrum,9.82,DAI,95252120,2.92,5.2
2024-07-01,Uniswap V3,Optimism,11.87,USDC,89941488,1.86,3.55
2024-07-01,Uniswap V3,Optimism,12.27,USDT,102404729,1.89,3.35
2024-07-01,Uniswap V3,Optimism,9.3,DAI,96330758,2.04,5.0
2024-07-01,Uniswap V3,Polygon,14.03,USDC,95350353,0.96,3.1
2024-07-01,Uniswap V3,Polygon,12.29,USDT,101740609,0.84,2.48
2024-07-01,Uniswap V3,Base,8.76,USDC,97148776,1.34,4.47
2024-07-01,Uniswap V3,Base,9.74,USDT,86876164,1.64,3.31
2024-07-01,Uniswap V3,Base,10.28,DAI,92771339,1.32,3.85
2024-07-01,Yearn,Ethereum,3.95,USDC,126997216,14.51,0
2024-07-01,Yearn,Ethereum,3.93,USDT,117316349,16.23,0
2024-07-01,Yearn,Ethereum,3.53,DAI,127423383,16.23,0
2024-07-01,Yearn,Arbitrum,4.6,USDC,116641096,2.09,3.41
2024-07-01,Yearn,Arbitrum,4.21,DAI,109772200,2.61,5.49
2024-07-01,Yearn,Optimism,4.97,USDC,127240780,1.87,2.56
2024-07-01,Yearn,Optimism,4.11,USDT,120642005,2.18,4.83
2024-07-01,Yearn,Optimism,4.56,DAI,117420172,2.24,3.77
2024-07-01,Yearn,Polygon,3.94,USDC,115937954,0.7,1.89
2024-07-01,Yearn,Polygon,4.38,USDT,114149834,0.98,3.98
2024-07-01,Yearn,Polygon,4.68,DAI,128809099,1.05,3.69
2024-07-01,Yearn,Base,4.58,USDC,125643570,1.36,3.26
2024-07-01,Yearn,Base,4.07,DAI,125944918,1.6,5.11
2024-07-01,Pendle,Ethereum,13.17,USDC,75455453,20.97,0
2024-07-01,Pendle,Ethereum,7.98,USDT,74806643,20.14,0
2024-07-01,Pendle,Ethereum,10.82,DAI,75029782,16.79,0
2024-07-01,Pendle,Arbitrum,17.81,USDT,67907337,2.04,5.28
