date,protocol,chain,apy,stablecoin,tvl,gasCost,bridgeFee
2024-07-01,Aave,Ethereum,3.02,USDC,238347545,16.19,0
2024-07-01,Aave,Ethereum,2.7,USDT,231259573,22.36,0
2024-07-01,Aave,Ethereum,2.66,DAI,241855192,17.79,0
2024-07-01,Aave,Arbitrum,3.74,USDC,237030404,1.25,5.46
2024-07-01,Aave,Arbitrum,3.51,USDT,234969187,2.49,4.83
2024-07-01,Aave,Optimism,3.01,USDC,243497566,1.37,4.31
2024-07-01,Aave,Optimism,3.27,USDT,262160765,2.06,3.99
2024-07-01,Aave,Optimism,3.46,DAI,243175510,1.82,4.12
2024-07-01,Aave,Polygon,3.74,USDC,239780390,1.06,2.85
2024-07-01,Aave,Polygon,3.76,USDT,253198537,0.96,3.6
2024-07-01,Aave,Polygon,3.67,DAI,248263284,1.16,2.2
2024-07-01,Aave,Base,3.29,USDC,261069115,1.22,4.47
2024-07-01,Aave,Base,3.15,USDT,258955147,1.71,4.72
2024-07-01,Aave,Base,3.35,DAI,238459864,1.17,3.22
2024-07-01,Compound,Ethereum,2.55,USDC,173501144,13.92,0
2024-07-01,Compound,Ethereum,2.33,DAI,177434394,21.42,0
2024-07-01,Compound,Arbitrum,3.29,USDC,184156086,2.19,5.62
2024-07-01,Compound,Arbitrum,3.6,USDT,178098896,2.01,6.18
2024-07-01,Compound,Arbitrum,3.05,DAI,194961343,2.43,3.68
2024-07-01,Compound,Optimism,3.01,USDC,186920822,1.51,3.63
2024-07-01,Compound,Optimism,2.95,USDT,175485916,1.78,3.15
2024-07-01,Compound,Optimism,2.84,DAI,162959657,1.83,2.94
2024-07-01,Compound,Polygon,3.36,DAI,188196721,1.05,3.2
2024-07-01,Compound,Base,3.46,USDC,166422641,1.33,2.7
2024-07-01,Compound,Base,3.43,USDT,187646828,1.38,4.41
2024-07-01,Compound,Base,3.52,DAI,171384263,1.94,5.09
2024-07-01,Curve,Ethereum,6.42,USDT,321703800,16.7,0
2024-07-01,Curve,Ethereum,5.8,DAI,333826801,17.1,0
2024-07-01,Curve,Arbitrum,7.74,USDC,327843787,2.04,4.71
2024-07-01,Curve,Arbitrum,7.81,USDT,324361207,2.42,4.33
2024-07-01,Curve,Arbitrum,8.06,DAI,297623717,2.89,5.55
2024-07-01,Curve,Optimism,6.33,USDC,343382104,2.27,3.71
2024-07-01,Curve,Optimism,6.87,USDT,353614814,1.85,4.19
2024-07-01,Curve,Optimism,6.77,DAI,317144799,1.63,4.35
2024-07-01,Curve,Polygon,7.69,USDC,331839001,0.65,3.89
2024-07-01,Curve,Polygon,8.06,USDT,314390976,1.28,2.53
2024-07-01,Curve,Polygon,8.29,DAI,328308394,1.03,3.01
2024-07-01,Curve,Base,6.48,USDC,326860102,1.64,3.38
2024-07-01,Curve,Base,7.39,USDT,329850073,1.53,3.61
2024-07-01,Curve,Base,6.69,DAI,293615294,0.99,3.57
2024-07-01,Uniswap V3,Ethereum,6.28,USDC,97266494,23.22,0
2024-07-01,Uniswap V3,Ethereum,7.6,USDT,102684688,16.56,0
2024-07-01,Uniswap V3,Arbitrum,8.56,USDC,97650322,2.37,5.44
2024-07-01,Uniswap V3,Arbitrum,6.96,USDT,96337194,1.69,4.87
2024-07-01,Uniswap V3,Arbitrum,8.09,DAI,91349140,2.4,4.97
2024-07-01,Uniswap V3,Optimism,7.55,USDC,100214848,1.38,4.55
2024-07-01,Uniswap V3,Optimism,8.14,USDT,88632813,2.01,4.28
2024-07-01,Uniswap V3,Polygon,9.32,USDC,100218462,0.9,2.16
2024-07-01,Uniswap V3,Polygon,7.84,DAI,97843821,0.79,2.54
2024-07-01,Uniswap V3,Base,9.33,USDC,102005765,1.77,3.46
2024-07-01,Uniswap V3,Base,8.59,USDT,88529822,1.24,4.12
2024-07-01,Uniswap V3,Base,7.3,DAI,84197474,1.95,4.48
2024-07-01,Yearn,Ethereum,3.72,USDT,125247013,11.39,0
2024-07-01,Yearn,Ethereum,3.54,DAI,118524818,20.95,0
2024-07-01,Yearn,Arbitrum,4.6,USDC,110888952,2.87,5.29
2024-07-01,Yearn,Arbitrum,5.21,USDT,123031654,2.59,5.36
2024-07-01,Yearn,Arbitrum,4.45,DAI,120771283,1.92,6.39
2024-07-01,Yearn,Optimism,4.57,USDC,118173886,1.52,4.06
2024-07-01,Yearn,Optimism,4.56,DAI,124186116,2.25,3.59
2024-07-01,Yearn,Polygon,4.79,USDC,129065196,0.73,2.15
2024-07-01,Yearn,Polygon,4.88,DAI,116609702,1.11,2.87
2024-07-01,Yearn,Base,4.25,USDC,123799742,1.49,3.82
2024-07-01,Yearn,Base,4.73,USDT,128368640,1.69,4.14
2024-07-01,Yearn,Base,4.32,DAI,111772809,1.84,4.45
2024-07-01,Pendle,Ethereum,8.28,USDC,78604985,18.06,0
2024-07-01,Pendle,Ethereum,8.07,USDT,71867650,20.86,0
2024-07-01,Pendle,Arbitrum,11.15,USDC,80842521,2.27,4.32
2024-07-01,Pendle,Arbitrum,8.41,USDT,74843984,2.1,5.35
2024-07-01,Pendle,Arbitrum,9.96,DAI,69012225,2.38,2.21
2024-07-01,Pendle,Optimism,9.24,USDC,71167376,1.4,3.44
2024-07-01,Pendle,Optimism,8.3,USDT,72229205,2.09,1.4
2024-07-01,Pendle,Optimism,10.61,DAI,73468463,1.16,3.16
2024-07-01,Pendle,Base,9.79,USDC,76986708,1.63,4.64
2024-07-01,Pendle,Base,7.43,USDT,68068107,1.16,3.02
2024-07-01,Pendle,Base,9.96,DAI,76338403,0.99,4.64
2024-07-01,Convex,Ethereum,6.34,USDC,136337733,25.26,0
2024-07-01,Convex,Ethereum,5.0,USDT,155820169,15.16,0
2024-07-01,Convex,Ethereum,4.65,DAI,143446331,19.66,0
2024-07-01,Balancer,Ethereum,6.96,USDC,108901828,13.34,0
2024-07-01,Balancer,Ethereum,6.02,DAI,106955120,19.53,0
2024-07-01,Balancer,Arbitrum,9.54,USDC,113117429,3.04,5.04
2024-07-01,Balancer,Arbitrum,6.51,USDT,120592491,2.25,4.64
2024-07-01,Balancer,Arbitrum,5.91,DAI,116440205,2.33,5.33
2024-07-01,Balancer,Optimism,7.3,USDC,109189655,1.89,3.02
2024-07-01,Balancer,Optimism,5.82,USDT,117240170,1.8,3.78
2024-07-01,Balancer,Optimism,6.98,DAI,114457395,1.8,5.33
2024-07-01,Balancer,Polygon,7.26,USDC,110614683,1.18,3.57
2024-07-01,Balancer,Polygon,8.49,USDT,110426953,1.01,3.0
2024-07-01,Balancer,Polygon,7.24,DAI,113548471,1.11,3.72
2024-07-01,Balancer,Base,7.16,USDC,108771666,1.69,4.67
2024-07-01,Balancer,Base,6.84,USDT,111564621,1.7,5.05
2024-07-01,Balancer,Base,7.68,DAI,101474129,1.79,2.4
2024-07-02,Aave,Ethereum,2.96,USDC,264350991,18.55,0
2024-07-02,Aave,Ethereum,3.02,USDT,257202933,13.19,0
2024-07-02,Aave,Ethereum,2.79,DAI,266293522,24.33,0
2024-07-02,Aave,Arbitrum,3.56,USDC,249280799,2.35,6.0
2024-07-02,Aave,Arbitrum,3.2,USDT,254700362,1.85,5.1
2024-07-02,Aave,Arbitrum,4.03,DAI,245897976,2.17,5.04
