date,protocol,chain,apy,stablecoin,tvl,gasCost,bridgeFee
2024-07-01,Aave,Ethereum,3.64,USDT,260999401,33.56,0
2024-07-01,Aave,Arbitrum,4.58,USDC,240019576,3.55,18.83
2024-07-01,Aave,Arbitrum,4.32,USDT,220434863,4.49,11.06
2024-07-01,Aave,Arbitrum,4.93,DAI,262826227,2.62,14.23
2024-07-01,Aave,Optimism,4.15,USDC,244335600,4.21,5.49
2024-07-01,Aave,Optimism,4.75,USDT,251935562,3.23,10.06
2024-07-01,Aave,Optimism,3.64,DAI,252313665,2.86,8.36
2024-07-01,Aave,Polygon,4.42,USDC,233607959,1.71,7.32
2024-07-01,Aave,Polygon,4.7,USDT,246049575,1.62,7.52
2024-07-01,Aave,Base,4.91,USDC,265897435,3.93,13.22
2024-07-01,Aave,Base,3.95,USDT,229224931,3.06,10.51
2024-07-01,Aave,Base,4.05,DAI,284544026,3.77,10.71
2024-07-01,Compound,Ethereum,4.02,USDC,193429194,30.99,0
2024-07-01,Compound,Ethereum,3.59,DAI,187818119,37.99,0
2024-07-01,Compound,Arbitrum,4.63,USDC,198039797,3.61,10.59
2024-07-01,Compound,Arbitrum,4.42,USDT,176021960,2.91,10.56
2024-07-01,Compound,Arbitrum,4.72,DAI,185080902,3.62,10.6
2024-07-01,Compound,Optimism,4.24,USDC,176492650,1.96,9.14
2024-07-01,Compound,Optimism,4.3,USDT,180031507,2.77,10.45
2024-07-01,Compound,Optimism,3.09,DAI,169506168,3.96,11.03
2024-07-01,Compound,Polygon,4.34,USDT,172363336,1.24,8.61
2024-07-01,Compound,Polygon,4.19,DAI,177217786,0.83,8.55
2024-07-01,Compound,Base,3.72,USDC,174997171,3.37,9.61
2024-07-01,Compound,Base,3.42,USDT,171041214,4.14,7.93
2024-07-01,Compound,Base,4.63,DAI,189867231,3.28,8.26
2024-07-01,Curve,Ethereum,5.04,USDC,322797860,37.81,0
2024-07-01,Curve,Ethereum,5.77,USDT,322868150,47.21,0
2024-07-01,Curve,Ethereum,6.57,DAI,376071330,45.34,0
2024-07-01,Curve,Arbitrum,8.34,USDC,320415732,3.28,15.24
2024-07-01,Curve,Arbitrum,8.19,USDT,332602645,3.28,14.14
2024-07-01,Curve,Arbitrum,7.18,DAI,285744787,4.44,9.05
2024-07-01,Curve,Optimism,6.16,USDT,316169430,2.68,10.5
2024-07-01,Curve,Optimism,6.69,DAI,322992184,2.38,9.3
2024-07-01,Curve,Polygon,7.17,USDC,324770313,1.33,6.38
2024-07-01,Curve,Polygon,7.65,DAI,307095261,1.52,9.96
2024-07-01,Curve,Base,7.16,USDC,335915907,3.23,8.18
2024-07-01,Curve,Base,6.09,USDT,326053671,3.2,12.14
2024-07-01,Curve,Base,8.4,DAI,340137429,3.6,9.27
2024-07-01,Uniswap V3,Ethereum,7.2,USDC,99600896,41.23,0
2024-07-01,Uniswap V3,Ethereum,6.48,USDT,97120883,32.75,0
2024-07-01,Uniswap V3,Ethereum,6.35,DAI,96396768,30.9,0
2024-07-01,Uniswap V3,Arbitrum,7.74,USDC,97473455,3.63,7.27
2024-07-01,Uniswap V3,Arbitrum,8.79,DAI,96627859,3.25,11.04
2024-07-01,Uniswap V3,Optimism,8.68,USDC,88396204,3.09,8.55
2024-07-01,Uniswap V3,Optimism,8.15,USDT,89206366,1.93,10.98
2024-07-01,Uniswap V3,Optimism,8.18,DAI,92048823,3.14,7.17
2024-07-01,Uniswap V3,Polygon,8.17,USDC,97200403,1.48,9.05
2024-07-01,Uniswap V3,Polygon,8.96,USDT,99765000,1.5,9.29
2024-07-01,Uniswap V3,Polygon,7.04,DAI,93109687,1.58,10.19
2024-07-01,Uniswap V3,Base,6.59,USDT,91937674,3.23,8.46
2024-07-01,Uniswap V3,Base,8.74,DAI,94863824,3.96,8.99
2024-07-01,Yearn,Ethereum,4.77,USDC,117842940,30.61,0
2024-07-01,Yearn,Ethereum,4.35,USDT,115528606,44.71,0
2024-07-01,Yearn,Ethereum,5.05,DAI,113858908,29.8,0
2024-07-01,Yearn,Arbitrum,7.5,USDC,117616728,4.38,10.3
2024-07-01,Yearn,Optimism,6.64,USDC,115128920,2.79,8.21
2024-07-01,Yearn,Optimism,6.21,USDT,125429831,3.25,9.96
2024-07-01,Yearn,Optimism,5.21,DAI,124258043,2.9,8.08
2024-07-01,Yearn,Polygon,5.53,USDC,120292356,1.7,7.02
2024-07-01,Yearn,Polygon,5.34,USDT,116872905,0.81,3.34
2024-07-01,Yearn,Base,5.66,USDC,127720454,3.45,10.69
2024-07-01,Yearn,Base,6.14,USDT,122462706,3.38,10.32
2024-07-01,Yearn,Base,6.56,DAI,120583263,3.48,10.31
2024-07-01,Pendle,Ethereum,8.45,USDC,78427404,38.6,0
2024-07-01,Pendle,Ethereum,8.81,USDT,78542580,41.96,0
2024-07-01,Pendle,Ethereum,8.05,DAI,68967071,47.42,0
2024-07-01,Pendle,Arbitrum,10.03,USDT,73483958,3.96,11.96
2024-07-01,Pendle,Arbitrum,12.59,DAI,67239852,3.39,10.76
2024-07-01,Pendle,Optimism,11.0,USDC,72777717,3.09,10.59
2024-07-01,Pendle,Optimism,11.4,USDT,73346495,2.86,6.93
2024-07-01,Pendle,Optimism,9.95,DAI,71452328,2.26,7.5
2024-07-01,Convex,Ethereum,5.8,USDC,152921130,29.45,0
2024-07-01,Convex,Ethereum,5.06,USDT,163996446,36.65,0
2024-07-01,Convex,Ethereum,4.88,DAI,136679778,50.04,0
2024-07-01,Balancer,Ethereum,6.95,USDC,109102314,46.02,0
2024-07-01,Balancer,Ethereum,6.44,USDT,122693376,56.41,0
2024-07-01,Balancer,Ethereum,5.79,DAI,110236642,37.27,0
2024-07-01,Balancer,Arbitrum,7.78,USDC,106883777,4.16,11.03
2024-07-01,Balancer,Arbitrum,6.65,USDT,116171753,2.97,11.12
2024-07-01,Balancer,Arbitrum,7.14,DAI,113119533,4.71,13.22
2024-07-01,Balancer,Optimism,6.39,USDC,104208585,2.91,6.4
2024-07-01,Balancer,Optimism,7.97,USDT,119179154,3.16,12.02
2024-07-01,Balancer,Polygon,8.49,USDC,114241443,1.2,11.01
2024-07-01,Balancer,Polygon,7.92,DAI,109742617,1.87,6.3
2024-07-01,Balancer,Base,6.41,USDT,107507559,3.53,8.67
2024-07-01,Balancer,Base,8.03,DAI,111777021,3.88,9.9
2024-07-02,Aave,Ethereum,3.16,USDC,268413071,34.71,0
2024-07-02,Aave,Ethereum,3.13,USDT,233290134,39.05,0
2024-07-02,Aave,Ethereum,3.01,DAI,242652852,48.16,0
2024-07-02,Aave,Arbitrum,4.39,USDC,259259639,4.61,11.32
2024-07-02,Aave,Arbitrum,4.48,USDT,252699634,2.87,14.61
2024-07-02,Aave,Arbitrum,4.21,DAI,250217278,5.05,12.49
2024-07-02,Aave,Optimism,4.06,USDC,250923876,2.3,5.48
2024-07-02,Aave,Optimism,4.53,USDT,274521452,3.2,6.24
2024-07-02,Aave,Optimism,5.28,DAI,226539971,2.85,10.93
2024-07-02,Aave,Polygon,4.55,USDC,260195333,1.73,7.2
2024-07-02,Aave,Polygon,5.15,DAI,236863315,1.44,8.05
2024-07-02,Aave,Base,4.74,USDT,243710530,4.18,9.47
2024-07-02,Aave,Base,4.52,DAI,268204870,3.65,11.25
2024-07-02,Compound,Ethereum,2.85,USDC,174281481,37.84,0
2024-07-02,Compound,Ethereum,3.38,USDT,173965330,47.55,0
2024-07-02,Compound,Ethereum,3.54,DAI,186922997,50.12,0
2024-07-02,Compound,Arbitrum,3.51,USDT,188078207,3.59,12.74
2024-07-02,Compound,Arbitrum,4.25,DAI,170039264,3.89,10.76
2024-07-02,Compound,Optimism,4.02,USDC,176530995,3.58,6.02
2024-07-02,Compound,Optimism,4.11,DAI,193329479,3.41,9.37
2024-07-02,Compound,Polygon,4.77,USDC,187436305,1.7,6.03
2024-07-02,Compound,Polygon,4.63,USDT,178763226,1.64,6.55
2024-07-02,Compound,Polygon,5.05,DAI,194009451,1.01,9.0
2024-07-02,Compound,Base,4.1,USDC,192776387,3.45,9.52
2024-07-02,Compound,Base,4.04,USDT,178922863,3.97,7.23
2024-07-02,Compound,Base,4.32,DAI,184646585,3.28,12.81
2024-07-02,Curve,Ethereum,6.05,USDC,318641692,25.19,0
2024-07-02,Curve,Ethereum,6.85,USDT,331673227,38.08,0
2024-07-02,Curve,Ethereum,5.65,DAI,340758884,49.95,0
2024-07-02,Curve,Arbitrum,8.34,USDC,330319265,5.34,15.57
2024-07-02,Curve,Arbitrum,7.24,USDT,331367303,3.36,15.06
2024-07-02,Curve,Optimism,7.22,USDC,329058562,4.62,8.66
2024-07-02,Curve,Optimism,6.53,USDT,327999569,3.1,7.64
2024-07-02,Curve,Optimism,5.11,DAI,341844217,2.62,6.07
2024-07-02,Curve,Polygon,9.03,USDC,333919379,1.76,8.61
