date,protocol,chain,apy,stablecoin,tvl,gasCost,bridgeFee
2024-07-01,Aave,Ethereum,2.62,USDC,246908617,48.15,0
2024-07-01,Aave,Ethereum,2.82,DAI,240883541,39.19,0
2024-07-01,Aave,Arbitrum,3.8,USDC,252879781,5.16,14.37
2024-07-01,Aave,Arbitrum,3.65,USDT,260398122,4.67,9.48
2024-07-01,Aave,Arbitrum,3.32,DAI,250804923,2.42,6.03
2024-07-01,Aave,Optimism,3.22,USDC,245558642,2.8,9.37
2024-07-01,Aave,Optimism,3.34,USDT,268946192,2.88,10.99
2024-07-01,Aave,Polygon,3.45,USDT,237683852,1.59,9.52
2024-07-01,Aave,Base,3.46,DAI,248806035,3.39,8.42
2024-07-01,Compound,Ethereum,2.8,USDC,203578034,61.53,0
2024-07-01,Compound,Ethereum,2.68,USDT,178096964,41.01,0
2024-07-01,Compound,Arbitrum,3.59,USDC,186182987,4.16,12.64
2024-07-01,Compound,Arbitrum,3.3,DAI,180901263,3.61,13.27
2024-07-01,Compound,Optimism,3.39,USDC,196673452,2.32,10.93
2024-07-01,Compound,Optimism,3.19,USDT,173223769,3.0,10.25
2024-07-01,Compound,Optimism,3.37,DAI,161367504,3.55,9.69
2024-07-01,Compound,Polygon,3.39,USDC,183200955,1.01,8.01
2024-07-01,Compound,Polygon,3.44,USDT,188510031,1.45,7.09
2024-07-01,Compound,Polygon,3.16,DAI,183487699,1.67,7.44
2024-07-01,Compound,Base,2.79,USDC,170867965,3.76,6.51
2024-07-01,Compound,Base,3.3,USDT,168975398,3.45,10.24
2024-07-01,Compound,Base,3.42,DAI,175509101,3.32,9.78
2024-07-01,Curve,Ethereum,8.15,USDC,316689030,30.82,0
2024-07-01,Curve,Ethereum,7.07,USDT,308002702,42.33,0
2024-07-01,Curve,Ethereum,9.58,DAI,313971839,40.94,0
2024-07-01,Curve,Arbitrum,9.63,USDC,320048010,4.33,11.54
2024-07-01,Curve,Arbitrum,6.91,USDT,313801479,2.4,11.82
2024-07-01,Curve,Arbitrum,7.26,DAI,326189833,3.37,15.58
2024-07-01,Curve,Optimism,9.82,USDC,335934913,2.96,8.77
2024-07-01,Curve,Optimism,7.31,USDT,339204436,2.57,11.85
2024-07-01,Curve,Optimism,8.54,DAI,308546711,3.3,8.92
2024-07-01,Curve,Polygon,9.55,USDC,298738200,1.67,7.57
2024-07-01,Curve,Polygon,12.19,USDT,333564581,1.44,9.8
2024-07-01,Curve,Polygon,10.55,DAI,326924213,1.57,4.94
2024-07-01,Curve,Base,7.37,USDC,355936768,3.32,8.3
2024-07-01,Curve,Base,9.24,USDT,329566334,4.42,8.5
2024-07-01,Curve,Base,9.84,DAI,307954175,3.5,11.42
2024-07-01,Uniswap V3,Ethereum,8.07,USDC,102227480,51.28,0
2024-07-01,Uniswap V3,Ethereum,10.02,USDT,95126188,42.84,0
2024-07-01,Uniswap V3,Ethereum,8.24,DAI,96640042,30.07,0
2024-07-01,Uniswap V3,Arbitrum,10.9,USDC,89715920,4.29,13.54
2024-07-01,Uniswap V3,Arbitrum,9.44,USDT,94576743,3.63,11.64
2024-07-01,Uniswap V3,Arbitrum,9.68,DAI,94876881,3.69,9.52
2024-07-01,Uniswap V3,Optimism,11.95,USDC,90622898,2.75,10.98
2024-07-01,Uniswap V3,Optimism,10.74,USDT,94559616,2.77,7.17
2024-07-01,Uniswap V3,Optimism,9.58,DAI,100428638,3.07,7.46
2024-07-01,Uniswap V3,Polygon,11.53,USDC,102711480,1.21,11.11
2024-07-01,Uniswap V3,Polygon,12.28,DAI,98038074,1.23,8.05
2024-07-01,Uniswap V3,Base,9.55,USDC,92946549,3.5,9.45
2024-07-01,Uniswap V3,Base,9.61,USDT,96140316,3.17,10.01
2024-07-01,Uniswap V3,Base,12.72,DAI,93145594,3.44,9.59
2024-07-01,Yearn,Ethereum,3.68,USDC,123287070,35.87,0
2024-07-01,Yearn,Ethereum,3.97,USDT,118467747,30.86,0
2024-07-01,Yearn,Ethereum,4.27,DAI,115617364,41.8,0
2024-07-01,Yearn,Arbitrum,5.31,DAI,127813419,4.27,9.34
2024-07-01,Yearn,Optimism,4.09,USDC,119862348,2.83,8.25
2024-07-01,Yearn,Optimism,4.43,USDT,124049076,3.23,6.01
2024-07-01,Yearn,Optimism,4.45,DAI,128471951,2.66,8.08
2024-07-01,Yearn,Polygon,4.64,USDC,121879634,0.55,8.88
