date,protocol,chain,apy,stablecoin,tvl,gasCost,bridgeFee
2024-07-01,Aave,Ethereum,3.07,USDC,248267980,37.08,0
2024-07-01,Aave,Ethereum,3.21,USDT,269055412,52.39,0
2024-07-01,Aave,Ethereum,2.62,DAI,241862676,39.3,0
2024-07-01,Aave,Arbitrum,3.38,USDC,241638755,2.99,13.53
2024-07-01,Aave,Arbitrum,3.32,USDT,253081759,5.35,12.6
2024-07-01,Aave,Arbitrum,3.66,DAI,246984685,3.23,10.83
2024-07-01,Aave,Optimism,3.67,USDC,256805571,2.34,9.31
2024-07-01,Aave,Optimism,3.12,USDT,241261732,3.11,7.91
2024-07-01,Aave,Optimism,3.35,DAI,242327747,3.66,9.87
2024-07-01,Aave,Polygon,4.21,USDT,257521586,1.23,7.03
2024-07-01,Aave,Polygon,3.59,DAI,218680858,1.75,9.09
2024-07-01,Aave,Base,3.11,USDC,265388678,4.07,14.69
2024-07-01,Aave,Base,3.79,USDT,231619763,3.67,4.95
2024-07-01,Aave,Base,3.57,DAI,262683029,3.3,5.01
2024-07-01,Compound,Ethereum,2.68,USDC,198932322,45.27,0
2024-07-01,Compound,Ethereum,2.8,USDT,166948266,37.68,0
2024-07-01,Compound,Ethereum,2.63,DAI,173156070,39.45,0
2024-07-01,Compound,Arbitrum,3.15,USDC,188366045,2.52,9.72
2024-07-01,Compound,Arbitrum,2.91,USDT,174433486,4.29,13.55
2024-07-01,Compound,Arbitrum,3.67,DAI,184195219,3.18,8.7
2024-07-01,Compound,Optimism,3.13,USDC,184919803,4.05,12.79
2024-07-01,Compound,Optimism,2.93,USDT,182996969,2.8,8.07
2024-07-01,Compound,Optimism,3.24,DAI,158055245,3.43,11.81
2024-07-01,Compound,Polygon,3.9,USDC,167668026,1.46,8.12
2024-07-01,Compound,Polygon,3.51,USDT,171131271,1.29,5.29
2024-07-01,Compound,Polygon,3.43,DAI,177876560,1.16,7.32
2024-07-01,Compound,Base,3.13,USDT,164639743,3.03,11.61
2024-07-01,Compound,Base,3.35,DAI,182383439,3.55,8.4
2024-07-01,Curve,Ethereum,7.95,USDC,330749659,48.85,0
2024-07-01,Curve,Ethereum,7.99,USDT,305761234,47.36,0
2024-07-01,Curve,Ethereum,8.72,DAI,339279493,44.51,0
2024-07-01,Curve,Arbitrum,10.16,USDT,325869698,4.61,8.61
2024-07-01,Curve,Arbitrum,8.4,DAI,324355981,3.06,17.75
2024-07-01,Curve,Optimism,7.35,USDC,329449035,3.08,9.92
2024-07-01,Curve,Optimism,8.0,USDT,312559728,1.94,8.81
2024-07-01,Curve,Optimism,8.18,DAI,319865590,2.3,8.02
2024-07-01,Curve,Polygon,8.32,USDC,317930887,1.73,7.65
2024-07-01,Curve,Polygon,7.88,USDT,353128966,1.15,9.35
2024-07-01,Curve,Polygon,10.34,DAI,307072403,1.05,9.39
2024-07-01,Curve,Base,8.98,USDC,332583163,3.87,9.59
2024-07-01,Curve,Base,8.41,USDT,323770323,3.33,9.81
2024-07-01,Curve,Base,11.2,DAI,309453873,3.9,13.66
2024-07-01,Uniswap V3,Ethereum,6.75,USDC,86512473,43.13,0
2024-07-01,Uniswap V3,Ethereum,9.6,USDT,96604696,44.58,0
2024-07-01,Uniswap V3,Ethereum,10.36,DAI,98361347,41.22,0
