date,protocol,chain,apy,stablecoin,tvl,gasCost,bridgeFee
2024-07-01,Aave,Ethereum,2.59,USDC,262283642,33.99,0
2024-07-01,Aave,Ethereum,3.07,USDT,241798925,39.35,0
2024-07-01,Aave,Ethereum,2.94,DAI,239415342,59.09,0
2024-07-01,Aave,Arbitrum,3.85,USDC,246621597,3.89,13.62
2024-07-01,Aave,Arbitrum,3.27,USDT,272905889,4.48,11.83
2024-07-01,Aave,Arbitrum,3.6,DAI,232884908,4.28,14.18
2024-07-01,Aave,Optimism,3.82,USDC,242668308,2.86,7.4
2024-07-01,Aave,Optimism,3.14,USDT,235812193,3.18,11.75
2024-07-01,Aave,Optimism,3.87,DAI,238738481,1.85,10.01
2024-07-01,Aave,Polygon,3.5,USDC,260198483,1.39,9.29
2024-07-01,Aave,Polygon,3.52,USDT,227502177,1.55,6.91
2024-07-01,Aave,Polygon,3.68,DAI,257075888,1.6,8.22
2024-07-01,Aave,Base,3.56,USDC,263518794,3.57,11.62
2024-07-01,Aave,Base,3.25,USDT,253993567,2.74,9.72
2024-07-01,Aave,Base,3.73,DAI,238284802,2.98,9.89
2024-07-01,Compound,Ethereum,2.61,USDC,190682467,47.68,0
2024-07-01,Compound,Arbitrum,3.6,USDT,179595992,2.96,13.49
2024-07-01,Compound,Arbitrum,3.44,DAI,181830568,3.74,13.92
2024-07-01,Compound,Optimism,3.09,USDC,189658556,2.42,11.57
2024-07-01,Compound,Optimism,3.06,USDT,185791418,2.76,7.0
2024-07-01,Compound,Optimism,2.88,DAI,174736096,3.07,11.83
2024-07-01,Compound,Polygon,2.97,USDC,187721956,1.46,9.26
2024-07-01,Compound,Polygon,3.65,USDT,187049846,1.44,7.8
2024-07-01,Compound,Polygon,3.83,DAI,191088410,0.72,6.65
2024-07-01,Compound,Base,3.32,USDC,170983003,2.74,9.11
2024-07-01,Compound,Base,3.73,USDT,193992580,3.74,13.02
2024-07-01,Compound,Base,3.23,DAI,184296256,3.3,7.52
2024-07-01,Curve,Ethereum,5.79,USDC,304403632,37.34,0
2024-07-01,Curve,Ethereum,7.18,USDT,318729141,40.85,0
2024-07-01,Curve,Ethereum,6.11,DAI,322070438,43.66,0
2024-07-01,Curve,Arbitrum,5.9,USDC,324860396,4.07,6.71
2024-07-01,Curve,Arbitrum,5.39,DAI,324675177,4.5,13.44
2024-07-01,Curve,Optimism,5.93,USDC,326004928,3.02,9.18
2024-07-01,Curve,Optimism,6.86,DAI,315416753,2.91,8.45
2024-07-01,Curve,Polygon,7.55,USDT,343785327,1.63,8.59
2024-07-01,Curve,Polygon,6.95,DAI,344701285,1.82,7.18
2024-07-01,Curve,Base,6.48,USDC,325560432,3.66,11.04
2024-07-01,Curve,Base,6.86,USDT,301003617,3.31,5.94
2024-07-01,Curve,Base,7.87,DAI,302632649,3.3,7.19
2024-07-01,Uniswap V3,Ethereum,5.51,USDC,89276952,48.48,0
2024-07-01,Uniswap V3,Ethereum,7.36,USDT,97659327,41.0,0
2024-07-01,Uniswap V3,Ethereum,6.66,DAI,97119620,51.42,0
2024-07-01,Uniswap V3,Arbitrum,7.92,USDC,92386484,3.98,13.52
2024-07-01,Uniswap V3,Optimism,7.79,USDC,95071173,2.51,10.43
2024-07-01,Uniswap V3,Optimism,8.57,USDT,98861051,3.58,9.52
2024-07-01,Uniswap V3,Optimism,8.31,DAI,102825562,3.35,11.31
2024-07-01,Uniswap V3,Polygon,8.12,USDC,103405439,1.49,8.44
2024-07-01,Uniswap V3,Polygon,7.96,USDT,98026169,1.35,8.93
2024-07-01,Uniswap V3,Polygon,7.13,DAI,96836821,1.76,6.84
2024-07-01,Uniswap V3,Base,7.84,USDC,104597561,3.77,10.68
2024-07-01,Uniswap V3,Base,8.01,USDT,94435712,3.45,8.61
2024-07-01,Uniswap V3,Base,7.16,DAI,93015097,2.94,9.8
2024-07-01,Yearn,Ethereum,3.73,USDT,119073688,31.53,0
2024-07-01,Yearn,Ethereum,3.55,DAI,115925894,37.65,0
2024-07-01,Yearn,Arbitrum,4.55,USDC,119870369,4.08,13.59
2024-07-01,Yearn,Arbitrum,4.14,USDT,118915772,3.61,13.41
2024-07-01,Yearn,Arbitrum,4.52,DAI,128841265,3.9,15.23
2024-07-01,Yearn,Optimism,4.21,USDC,110042841,3.19,10.17
2024-07-01,Yearn,Optimism,4.56,USDT,122511420,2.6,11.03
2024-07-01,Yearn,Optimism,5.01,DAI,127310096,3.32,8.52
2024-07-01,Yearn,Polygon,5.14,USDC,130485028,1.47,7.37
2024-07-01,Yearn,Polygon,4.41,USDT,125821881,1.69,9.52
2024-07-01,Yearn,Base,4.26,USDC,114653684,3.78,10.85
2024-07-01,Yearn,Base,4.38,USDT,109696671,3.06,7.86
2024-07-01,Yearn,Base,4.93,DAI,115439224,3.14,11.77
2024-07-01,Pendle,Ethereum,9.3,USDC,76679442,43.41,0
2024-07-01,Pendle,Ethereum,8.67,USDT,75299007,40.25,0
2024-07-01,Pendle,Ethereum,8.86,DAI,78944031,37.64,0
2024-07-01,Pendle,Arbitrum,10.24,USDC,70134971,3.6,13.6
2024-07-01,Pendle,Arbitrum,13.28,USDT,82848060,1.77,7.08
2024-07-01,Pendle,Arbitrum,9.19,DAI,72660194,3.7,12.83
2024-07-01,Pendle,Optimism,7.37,USDC,71994221,2.78,7.97
2024-07-01,Pendle,Optimism,9.5,USDT,74239550,3.0,7.95
2024-07-01,Pendle,Optimism,11.18,DAI,70481726,2.77,9.95
2024-07-01,Pendle,Base,13.14,USDC,76293691,3.0,12.31
2024-07-01,Pendle,Base,9.79,USDT,76387397,3.0,13.65
2024-07-01,Pendle,Base,8.81,DAI,71632577,3.68,9.37
2024-07-01,Convex,Ethereum,5.39,USDC,147032580,53.67,0
2024-07-01,Convex,Ethereum,6.46,USDT,135385724,44.68,0
2024-07-01,Convex,Ethereum,4.89,DAI,134845671,33.73,0
2024-07-01,Balancer,Ethereum,5.83,USDT,108964320,44.63,0
2024-07-01,Balancer,Ethereum,5.71,DAI,104139031,49.02,0
2024-07-01,Balancer,Arbitrum,7.83,USDC,102537336,3.76,14.98
2024-07-01,Balancer,Arbitrum,9.17,DAI,110316410,3.87,9.84
2024-07-01,Balancer,Optimism,7.09,USDC,112382452,3.93,4.2
2024-07-01,Balancer,Optimism,6.01,USDT,111090916,2.39,11.06
2024-07-01,Balancer,Optimism,8.14,DAI,109075441,2.5,10.5
2024-07-01,Balancer,Polygon,7.77,USDC,116422714,2.01,8.28
2024-07-01,Balancer,Polygon,7.61,USDT,103279509,1.08,8.45
2024-07-01,Balancer,Polygon,8.34,DAI,100799370,1.51,9.03
2024-07-01,Balancer,Base,8.27,USDC,111200799,2.73,6.42
2024-07-01,Balancer,Base,7.97,USDT,113018910,3.36,9.84
2024-07-01,Balancer,Base,6.15,DAI,109608837,3.86,11.55
2024-07-02,Aave,Ethereum,2.89,USDC,249166220,42.02,0
